language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
gami1243,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-
wang1291,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-
muru1266,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-
kumb1268,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-
darl1243,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-
marg1253,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-
gugu1255,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,l,-,-
kuku1273,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-,-
dyaa1242,-,-,-,-,T,-,-,-,-,-,u,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-,-
yidi1250,-,-,-,-,T,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
warr1255,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,m,b,-,-,-,i,-,-,5,-,-
paka1251,-,-,-,-,4,-,-,-,-,-,o,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
kuku1280,-,-,-,-,t,-,-,-,-,-,a,n,t,a,-,p,u,N,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-
wikm1247,-,-,-,-,k,-,-,-,-,-,u,-,T,e,k,m,u,n,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
kuuk1238,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-
kanj1260,-,-,-,-,y,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
gurd1238,-,-,-,-,x,-,-,-,-,-,a,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,N,-,-
ngaa1240,-,-,-,-,5,-,-,-,-,-,u,-,-,-,-,-,-,l,-,t,-,-,-,T,-,-,-,u,-,-,-,-,-
pint1251,-,-,-,-,5,-,-,-,-,-,u,-,-,-,-,-,-,l,-,t,-,-,-,T,-,-,-,u,-,-,-,-,-
pitj1243,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,5,-,t,-,-,-,T,-,-,-,u,-,-,-,-,-
pint1250,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,m,-,-,-,-,-,p,-,-,-,a,-,-,-,-,-
kuka1246,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,n,-,d,-,-,-,T,-,-,-,u,-,-,-,-,-
nyam1271,-,-,-,-,p,-,-,a,k,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
nyan1301,-,-,-,-,n,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
mart1256,-,-,-,-,k,-,-,a,r,-,a,-,-,-,-,-,-,-,-,l,-,-,-,y,p,-,-,a,-,-,-,-,-
wanm1242,-,-,-,-,5,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,y,-,-,-,a,-,-,-,-,-
kara1476,-,d,-,o,m,o,g,a,d,T,o,-,-,-,-,-,-,N,a,d,-,-,-,T,-,-,-,u,-,-,g,o,-
kara1476,-,t,-,u,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
nhan1238,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,n,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-
waja1257,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,n,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-
bayu1240,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,n,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-
dhal1245,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dhar1247,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kurr1243,-,k,-,u,t,-,-,u,w,-,a,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
pany1241,-,-,-,-,t,-,-,i,4,-,a,-,-,-,-,-,-,n,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-
ngar1287,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,L,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-
yind1247,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-
nyun1247,-,d,-,-,T,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
warl1255,-,-,-,-,-,-,-,-,m,-,a,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
warl1254,-,-,-,-,T,-,-,a,m,p,i,-,-,-,-,-,-,l,-,-,-,-,-,y,p,-,-,a,-,-,-,-,-
guri1247,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mudb1240,-,-,-,-,5,-,-,-,-,-,u,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,u,-,-,T,a,-
jaru1254,-,-,-,-,d,-,-,-,T,-,a,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
adny1235,-,-,-,-,4,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,v,a,r,a,-,-,-,-,-
naru1238,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,L,-,d,i,d,a,m,b,-,-,a,-,-,-,-,-
dier1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,T,a,-,-,n,-,-,-,i,-,-,-,-,-
yand1253,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,n,-,d,u,-,-,n,-,-,-,a,-,-,-,-,-
dhuw1249,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,k,-,-
djam1256,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,m,-,b,-,-,-,-,-,-,-,a,-,-,y,-,-
gupa1247,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,k,-,-
guma1253,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,m,-,b,-,-,-,-,-,-,-,a,-,-,y,-,-
dhan1270,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,k,-,-
dayi1244,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,k,-,-
rita1239,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,m,-,b,-,-,-,-,-,-,-,a,-,-,y,-,-
yann1237,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,l,u,N,u,-
djin1253,-,-,-,-,d,-,-,-,T,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,i,-,-,L,i,N
waga1260,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,u,-,-,k,-,-,-,u,-,-,-,-,-
