language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
kuuk1238,-,-,k,u,7,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,i,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
guga1239,p,i,r,e,w,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yand1253,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yawa1258,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,m,-,p,a,-,r,-,-,-,-,-,-,i,-,-,-,-,-,-,-
dier1241,-,-,-,-,T,-,-,a,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngam1284,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yarl1238,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
arab1267,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,n,-,-,-,i,-,n,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mith1236,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,a,r,i,N,-,-,-,a,-,n,-,-,-,-,d,a,k,-,u,l,-,i,-,-,-,-,-,-,-
guya1249,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,n,-,k,a,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nhir1234,-,-,g,a,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,w,-,a,-,-,-,-,-,-,-
pitt1247,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,u,p,a,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-,-
wang1289,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,u,p,a,-,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-
bang1339,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,-,l,-,-,a,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wira1265,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kaur1267,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,a,n,-,-,d,-,i,-,-,-,-,-,-,-
naru1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,a,-,-,-,d,T,a,-,-,-,-,-,-,-
adny1235,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
darl1243,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nhan1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
waja1257,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kurr1243,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,y,i,-
yind1247,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pany1241,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngar1287,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kari1304,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bayu1240,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,m,a,-
dhal1245,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,y,i,n
djiw1241,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,y,i,-
wari1262,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,y,i,-
dhar1247,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,y,i,-
nort2754,-,-,-,-,w,-,-,u,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nyan1301,-,-,m,u,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kara1476,-,i,n,-,d,-,-,a,n,T,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,T,u,-,-,-,r,-,a,-,-,-,-,g,o,-
kara1476,-,-,-,-,y,-,-,i,n,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngar1296,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mang1383,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,i,-,5,p,-,-,-,-,-,u,-,-,-,-,-,-,-
