language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
gami1243,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
gami1243,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
wira1262,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
wang1291,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
muru1266,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
kumb1268,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,y,-
darl1243,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,-,-,-,a,-,-,-
guny1241,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,4,-,-,-,-,-,-,-,-,-,a,-,-,-
marg1253,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,b,-,-,-,u,-,-,-
maya1280,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,t,T,a,l,-,-,-,-,-,-,-,-,-,a,-,-,-
gugu1255,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,4,-,-,-,-,-,-,-,-,-,a,-,-,-
kuku1273,-,-,-,-,-,-,-,-,T,u,-,-,-,-,-,-,-,w,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,d,-,-,-,a,-,-,-
yidi1250,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,d,-,-,-,a,-,-,-
dyir1250,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,d,y,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,b,-,-,-,-,-,-,-,-,-,a,-,y,-
paka1251,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,T,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,T,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,m,-,p,-
umpi1239,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,T,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,T,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
kanj1260,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,T,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,T,-,-,-,i,r,x,-
ngaa1240,p,i,t,i,t,T,a,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,p,a,-,y,i
pint1251,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-
pitj1243,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-
pint1250,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-
kuka1246,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-
nyam1271,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,u,-,-,-
nyan1301,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,u,-,-,-
