language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
wira1262,-,-,-,N,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,n,-,-
wang1291,-,-,-,p,-,-,a,-,-,-,t,-,-,-,-,a,-,y,p,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-
muru1266,-,-,-,m,-,-,a,-,-,-,t,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,-,-
kumb1268,-,-,-,w,-,-,u,-,-,-,l,-,-,-,-,u,m,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
darl1243,-,-,-,b,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,d,T,-,-,-,-,-,a,-,-,-
guny1241,-,-,-,m,-,-,a,-,-,-,d,-,-,-,y,a,m,-,b,-,-,i,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,5,-,-
marg1253,-,-,-,m,-,-,a,-,-,-,T,-,-,-,-,a,m,-,b,-,-,i,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,5,-,-
gugu1255,-,-,-,d,-,-,-,-,-,-,y,-,-,-,-,i,-,-,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-
dyaa1242,-,-,-,g,-,-,u,-,-,-,g,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
yidi1250,-,-,-,m,-,-,u,-,-,-,5,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-
warr1255,-,-,-,m,-,-,u,-,-,-,5,-,-,-,-,u,n,-,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,u,n
paka1251,-,-,-,m,-,-,a,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,m,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,m,-,-,u,-,-,-,N,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-
kuuk1238,-,-,-,m,-,-,u,-,-,-,N,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-
gurd1238,-,-,-,n,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,x,-,-,-
ngaa1240,-,-,-,p,-,-,i,-,-,5,t,-,-,-,T,a,-,-,5,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-
pint1251,-,-,-,p,-,-,a,-,-,-,t,-,-,-,-,u,-,-,p,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-
pitj1243,-,-,-,p,-,-,a,-,-,-,t,-,-,-,-,u,-,-,p,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-
pint1250,-,-,-,p,-,-,a,-,-,-,t,-,-,-,T,u,-,-,p,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-
kuka1246,-,-,-,p,-,-,a,-,-,-,t,-,-,-,-,u,-,-,p,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-
nyam1271,-,t,-,T,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
nyan1301,-,t,-,T,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
