language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
kumb1268,-,-,-,-,-,-,-,N,-,-,a,-,-,n,-,-,b,-,-,i,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
kuku1273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,a,r,-,-,-,i,-,-,m,-,-,-,-,-,-,a,T,-,i
dyaa1242,-,-,-,-,-,-,-,T,-,-,a,-,-,-,-,-,b,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y
yidi1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,u,r,-,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-
paka1251,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,m,-,p,-,-,-,-,a,n,-,-
kuku1280,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,b,-,-,a,b,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-
wikm1247,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,7,-,-,i,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,N,-,-
umpi1239,-,-,-,-,-,-,-,w,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,p,-,-,-,-,a,-,-,-
kuuk1238,-,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,p,a,m,a,n,a,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,w,-,-,i,l,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,t,-,-,T,-,-,a,-,-,-,-,-,L,-,-,u,r,-,-,-,i,-,-,N,-,-,-,-,-,-,u,-,-,-
pitj1243,-,-,-,-,t,-,-,T,-,-,a,-,-,-,-,-,k,-,-,a,t,-,-,-,i,-,-,5,-,-,-,-,-,-,i,-,-,-
