language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
gami1243,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,g,i,-,-,-,n,-,-,-,i,-,-,-,-
gami1243,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,g,i,-,-,-,n,-,-,-,i,-,-,-,-
wira1262,-,-,-,-,w,i,n,a,N,-,-,a,-,-,d,-,-,-,-,-,-,u,-,r,-,-,i,-,-,-,N,-,-,-,a,-,-,-,-
muru1266,-,-,-,-,w,a,n,-,p,-,-,a,-,-,t,-,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
darl1243,-,-,-,-,w,a,n,-,m,-,-,-,-,-,-,-,-,-,-,-,-,u,d,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
guny1241,-,-,-,-,m,a,N,-,-,-,-,a,-,i,g,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
marg1253,-,-,-,-,m,a,N,-,-,-,-,a,-,i,g,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
dyaa1242,-,-,-,-,b,i,n,-,-,-,-,a,-,-,w,-,-,-,-,-,-,u,-,l,a,y,-,-,-,-,-,-,-,-,i,y,-,-,-
yidi1250,-,-,-,-,b,i,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,g,a,l,-,-,-,-,-,-,-,-,i,-,-,-,-
wikm1247,-,-,-,-,k,o,n,-,N,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,N,-,-,-
umpi1239,-,-,-,-,y,a,m,-,q,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kuuk1238,-,-,-,-,y,a,m,-,7,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,n,-,a,-
gurd1238,-,-,-,-,d,e,N,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,d,-,-,-,-,-,-,-,-,i,N,-,k,-
pint1251,-,-,-,-,-,-,-,-,p,u,t,a,-,-,k,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nyam1271,-,-,-,-,-,-,-,-,w,-,-,a,-,-,l,y,i,-,m,-,-,a,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nyan1301,-,-,-,-,-,-,-,-,k,-,-,a,-,-,k,-,u,-,n,-,-,u,-,l,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
kara1476,-,-,-,-,m,a,-,-,b,-,-,a,-,-,d,T,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,n,T,a,-
nhan1238,-,-,-,-,w,u,t,-,k,-,-,a,m,u,4,-,-,-,-,-,-,a,-,d,a,b,-,-,-,-,-,-,-,-,a,-,-,-,-
waja1257,-,-,-,-,g,u,L,-,g,-,-,a,-,-,t,-,-,-,-,-,-,a,-,r,a,y,-,-,-,-,-,-,-,-,i,-,-,-,-
bayu1240,-,-,-,-,p,a,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,m,-,a,-
pany1241,-,-,-,-,N,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
ngar1287,-,-,-,-,N,a,-,-,w,-,-,a,-,-,r,-,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
yind1247,-,-,-,-,N,a,-,-,w,-,-,a,-,-,r,-,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nyun1247,-,-,t,o,N,a,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,a,p,-,o,-
guri1247,-,-,-,-,w,a,t,u,w,-,-,a,-,-,t,-,u,T,m,a,n,a,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ngar1235,-,-,-,-,g,-,-,u,l,-,-,a,-,-,g,-,i,-,-,-,-,-,-,r,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-
mudb1240,-,-,-,-,k,a,-,-,w,-,-,a,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,-,-,n,-,T,-,-,i,l,-,-,-,-,-,-,-,-,-,m,-,-,a,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
adny1235,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,N,i,-,-,-,-,-,-,-,-,-,i,-,-,-,-
