language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
gami1243,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,a,-,-,-,b,-,-,-,a,-,l,-,-,-,-,a,-,-,-
gami1243,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,a,-,-,-,b,-,-,-,a,-,l,-,-,-,-,a,-,-,-
wira1262,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,T,-,-,a,-,-,-,b,-,-,-,u,-,T,-,-,-,-,a,-,-,-
wang1291,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,a,-,-,-,b,-,-,-,a,-,l,-,-,-,-,a,-,-,-
muru1266,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,i,-,-,m,p,-,-,-,i,-,r,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,-,l,-,T,u,-,-,-,b,-,-,-,i,-,l,-,T,u,g,a,-,-,-
dyaa1242,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,b,i,r,w,a,-,l,-,b,-,-,i,-,r,-
kuku1280,-,-,-,-,-,y,u,-,k,-,-,u,-,-,-,-,-,-,N,-,-,u,y,u,m,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-,n,-,k,o,n,i,-,y,-,-,-,a,-,N,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,p,-,-,-,a,-,l,-,-,-,-,-,-,-,-
gurd1238,r,e,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,b,-,-,-,i,-,l,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,n,-,t,-,-,a,-,-,-,p,-,-,-,i,n,t,-,-,-,-,a,-,-,-
pint1251,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,n,-,t,-,-,a,-,-,-,p,-,-,-,i,n,t,-,-,-,-,a,-,-,-
pint1250,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,n,-,t,-,-,a,-,-,-,p,-,-,-,i,n,t,-,-,-,-,a,-,-,-
kuka1246,N,a,-,-,-,m,-,-,-,-,-,i,-,-,-,-,n,a,N,-,-,a,-,-,-,m,-,-,-,i,n,-,-,-,-,-,a,-,-,-
nyan1301,k,a,-,-,-,p,-,-,-,-,-,a,l,i,p,-,-,-,-,-,-,a,-,-,-,l,-,-,-,i,-,-,-,-,-,-,-,-,-,-
wanm1242,-,-,-,-,-,w,-,-,-,-,-,i,r,i,p,i,n,-,t,-,-,a,-,-,-,p,-,-,-,i,n,t,-,-,-,-,a,-,-,-
kara1476,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,n,-,d,-,-,a,-,-,-,b,-,-,-,e,n,d,-,-,-,-,a,-,-,-
nhan1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,-,-,b,-,-,-,e,-,r,-,-,-,-,a,-,-,-
waja1257,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,i,-,-,-,b,-,-,-,i,-,d,-,-,-,-,i,-,-,-
bayu1240,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,i,-,-,-,b,-,-,-,i,-,d,-,-,-,-,i,-,-,-
dhal1245,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,i,-,-,-,b,-,-,-,i,-,d,-,-,-,-,i,-,-,-
pany1241,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,-,t,-,-,i,-,-,-,p,-,-,-,i,-,t,-,-,-,-,i,-,-,-
ngar1287,g,a,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,L,-,-,i,-,-,-,w,-,-,-,a,-,L,-,-,-,-,i,-,-,-
yind1247,g,a,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,L,-,-,i,-,-,-,w,-,-,-,a,-,L,-,-,-,-,i,-,-,-
nyun1247,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,n,-,d,-,-,i,-,-,-,b,-,-,-,i,n,d,-,-,-,-,i,-,-,-
warl1255,-,-,-,-,-,T,i,n,T,i,m,a,-,-,-,-,-,-,l,-,-,i,-,-,-,m,-,-,-,a,-,l,-,-,-,-,i,-,-,-
guri1247,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,i,-,-,-,m,-,-,-,a,-,l,-,-,-,-,i,-,-,-
ngar1235,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,L,a,y,i,-,-,-,m,-,-,-,a,-,L,a,y,-,-,i,-,-,-
mudb1240,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,L,-,-,i,-,-,-,m,-,-,-,a,-,L,-,-,-,-,i,-,-,-
jaru1254,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,i,-,-,-,m,-,-,-,a,-,l,-,-,-,-,i,-,-,-
naru1238,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,l,-,y,-,-,a,-,-,-
dier1241,k,a,-,l,i,b,-,-,-,-,-,i,-,-,-,-,-,-,l,-,-,i,-,-,-,b,-,-,-,i,-,l,-,-,-,-,i,-,-,-
yand1253,k,a,d,l,i,b,-,-,-,-,-,i,-,-,-,-,-,-,l,-,-,i,-,-,-,b,-,-,-,i,-,l,-,-,-,-,i,-,-,-
dhuw1249,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
djam1256,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
gupa1247,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
guma1253,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
dayi1244,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,m,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
rita1239,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
yann1237,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-
djin1253,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,L,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,r,d,i
waga1260,-,-,-,-,-,w,-,-,-,-,-,i,T,i,p,u,-,-,l,-,-,u,-,-,-,p,-,-,-,a,-,l,-,-,-,-,-,-,-,-
warl1256,-,-,-,-,-,5,-,-,-,-,-,i,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,a,-,N,-,-,-,-,u,-,-,-
kala1377,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,e,-,-,-,k,-,-,-,a,-,-,-,-,-,-,u,-,-,-
