language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
warl1256,-,-,k,-,-,-,-,i,-,-,-,-,-,-,k,-,-,y,i,-,-,-,k,-,-,-,-,-,-,i,-,-,-,l,-,-,y,i,-,-,-,-,m,-,-,-,a,-,-
bula1255,-,-,g,-,-,-,-,i,-,-,-,-,-,-,l,-,-,y,i,-,-,-,b,-,-,-,-,-,-,u,-,-,-,r,-,-,-,u,-,-,-,-,m,-,-,-,a,-,-
waga1260,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,y,i,-,-,-,p,-,-,-,-,-,-,i,-,-,-,l,-,-,-,e,-,-,-,-,m,-,-,-,-,-,-
yany1243,m,a,b,-,-,-,-,a,-,-,-,-,-,-,n,b,a,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
kala1377,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,u,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
waru1264,-,-,m,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,i,-,-,-,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,y,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,y,-,-,-,-,i,-,-,-,-,-,-,r,-,m,b,a,-,-,-,m,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,T,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,N,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,y,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,b,-,-,-,-,a,-,-,-,-,-,-,5,-,-,-,-,-,-,-,T,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,g,a,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
marg1253,-,-,b,-,-,-,-,i,4,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
sout2765,-,-,b,-,-,-,-,i,n,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
biri1256,-,-,b,-,-,-,-,i,n,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wong1246,-,-,w,-,-,-,-,i,n,-,-,-,-,-,t,-,-,-,-,-,-,-,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,k,-,-,-,-,i,t,-,T,i,k,i,t,-,-,-,-,-,-,-,T,-,i,m,p,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kalk1246,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-,-,-,p,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yala1262,-,-,k,-,-,-,-,i,y,-,-,a,k,i,y,-,-,-,a,-,-,-,w,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mayi1235,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,u,-,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,y,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,k,-,-,-,-,u,-,-,-,-,-,-,4,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,y,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guga1239,-,-,m,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
yand1253,-,-,b,-,-,-,-,u,-,-,-,-,-,-,n,-,u,n,u,-,-,-,p,-,a,-,r,-,-,a,-,-,-,r,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
yawa1258,-,-,b,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,u,-,-,-,p,-,a,-,r,-,-,i,-,n,d,r,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
dier1241,-,-,w,-,-,-,-,u,-,-,-,-,-,-,n,-,-,t,a,-,-,-,w,-,u,n,t,-,-,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
ngam1284,-,-,y,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,y,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
arab1267,-,-,m,-,-,-,-,a,-,-,-,-,-,-,n,-,-,k,a,-,-,-,-,-,-,-,t,-,T,i,-,n,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
wang1290,-,-,m,-,-,-,-,a,-,-,-,-,-,-,n,-,-,k,a,-,-,-,w,-,i,-,t,-,-,i,-,n,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
guya1249,-,-,t,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,a,-,-,-,-,-,-,-,t,a,n,a,-,n,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
pitt1247,-,-,p,u,-,-,l,u,-,-,-,-,-,-,n,-,-,-,a,-,-,-,w,-,-,-,-,-,-,a,-,5,-,T,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
wang1289,-,-,y,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,d,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
bang1339,-,-,p,-,-,-,-,a,-,-,-,-,-,-,l,-,-,b,a,-,-,-,n,-,-,-,-,-,-,i,-,-,-,t,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
