language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
gami1243,-,-,g,u,-,-,n,-,-,-,i,d,-,-,-,i,r,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-
gami1243,-,-,g,u,-,-,n,-,-,-,i,d,-,-,-,i,r,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,b,-,-,-,a,r,-,-,-,a,-,-,-,-,-,m,-,-,-,a,-,-,-,i,-,-,-,-
kumb1268,5,u,g,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,l,-,-,-,-
darl1243,-,-,N,a,-,-,m,-,-,-,a,g,-,-,-,a,-,-,-,-,-,m,-,-,-,a,-,r,-,a,-,-,-,-
maya1280,-,-,-,-,-,-,m,-,-,-,a,l,-,-,-,a,-,-,-,-,-,p,-,-,-,a,-,N,g,u,-,-,-,-
gugu1255,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-,-,-,N,-,-,-,a,-,r,-,u,-,-,-,-
dyaa1242,-,-,-,-,-,-,m,-,-,-,a,r,-,-,-,a,-,-,-,-,-,N,-,-,-,a,-,m,-,u,-,-,-,-
yidi1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,m,-,u,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,b,-,i,-,-,-,-
kuku1280,-,-,-,-,-,-,m,-,-,-,a,7,-,-,-,a,4,i,-,-,-,N,-,-,-,a,-,d,-,e,-,-,-,-
wikm1247,-,-,-,-,-,-,m,-,-,-,a,7,-,-,-,-,p,u,k,p,i,7,-,-,-,a,-,n,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,p,-,-,-,a,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,l,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,m,-,-,-,a,d,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,l,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,m,-,-,-,a,r,-,-,-,a,-,-,-,-,-,m,-,-,-,a,-,m,-,-,-,-,a,-
pint1250,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,t,-,u,r,-,a,-
kuka1246,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,t,-,u,r,-,a,-
nyam1271,-,-,-,-,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,k,-,u,-,-,-,-
nyan1301,-,-,-,-,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,k,-,u,-,-,-,-
wanm1242,-,-,-,-,-,-,m,u,r,k,a,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,u,5,-,a,-
kara1476,-,-,-,-,-,-,m,i,-,g,a,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,b,-,e,r,-,-,-
bayu1240,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,d,-,u,r,-,a,-
kurr1243,-,-,-,-,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,N,-,k,-,a,-,5,-,u,-,-,-,-
pany1241,-,-,-,-,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,N,-,k,-,a,-,5,-,u,-,-,-,-
ngar1287,-,-,-,-,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,N,-,g,-,a,-,r,-,i,5,-,-,-
yind1247,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,a,-,r,-,a,-,-,-,-
nyun1247,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,e,-,a,-,g,-,u,-,-,-,-
waru1265,-,-,-,-,-,-,w,-,-,-,i,-,-,-,-,-,-,-,-,-,-,n,-,t,-,a,-,t,-,u,-,-,-,-
guri1247,-,-,-,-,-,-,w,-,-,-,a,t,-,-,-,a,n,-,-,-,-,N,-,-,-,a,-,t,-,i,5,-,a,n
adny1235,-,-,-,-,-,-,-,-,-,-,a,L,i,L,p,a,-,-,-,-,-,N,-,-,-,a,-,L,k,i,-,-,-,-
dier1241,-,-,-,-,-,-,m,-,-,-,a,r,-,-,-,a,-,-,-,-,-,N,-,-,-,a,n,t,-,i,-,-,-,-
yand1253,-,-,-,-,-,-,m,-,-,-,a,r,-,-,-,a,-,-,-,-,-,N,-,-,-,a,n,d,r,i,-,-,-,-
kala1377,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,g,-,e,t,-,-,-
alya1239,-,-,-,i,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,e,-,p,a,-,-,m,i,k,w,-,-
west2441,-,-,-,i,l,t,T,-,-,-,a,t,-,-,-,-,-,-,-,-,-,5,i,k,w,a,-,t,5,i,k,w,a,-
