language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
gami1243,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-
gami1243,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-
wira1262,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,e,n,-,T,-
wang1291,-,-,m,-,-,e,m,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-
muru1266,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,u,m,i,l,-
darl1243,-,-,b,-,-,a,n,-,-,-,-,-,d,a,-,-,d,-,-,-,T,-,-,-,-,-,a,-,-,-,-
guny1241,-,-,d,i,l,i,m,-,-,-,-,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-
marg1253,-,-,d,i,l,i,b,-,-,-,-,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-
kung1258,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,g,a,b,a,r,-,-,-,-,-,a,n,-,-,-
gugu1255,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-
dyaa1242,-,-,-,-,-,-,b,-,-,a,-,-,b,u,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,m,-,-,e,q,-,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,-,-,u,-,-,-,-
wikm1247,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,7,-,-,-,-,-,v,5,-,T,-
umpi1239,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,7,-,-,-,-,-,u,5,-,T,i
kuuk1238,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,7,-,-,-,-,-,u,n,-,T,i
kanj1260,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,7,-,-,-,-,-,u,5,-,T,i
gurd1238,-,-,l,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,r,u,t,T,-,-,u,-,-,t,u
pint1251,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,r,u,-,p,-,-,a,-,-,t,i
pint1250,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,p,-,-,a,-,-,-,-
kuka1246,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,L,u,r,p,-,-,a,-,-,-,-
nyam1271,-,-,-,-,-,-,p,-,-,a,m,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
nyan1301,-,-,-,-,-,-,T,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-
mart1256,-,-,-,-,-,-,p,-,-,a,m,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
wanm1242,-,-,-,-,-,-,T,-,-,-,-,-,-,u,-,-,-,-,-,-,L,a,-,T,i,5,a,-,-,-,-
kara1476,-,-,d,-,-,-,T,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-
nhan1238,-,-,-,-,-,-,k,-,-,u,m,-,-,u,-,-,-,-,-,-,d,-,-,-,-,-,u,-,-,-,-
bayu1240,-,-,-,-,-,-,p,-,-,a,m,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-
dhal1245,-,-,-,-,-,-,p,-,-,a,m,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-
dhar1247,-,-,-,-,-,-,p,-,-,a,-,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-
kurr1243,-,-,-,-,-,-,T,-,-,a,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-
pany1241,-,-,t,u,L,a,T,-,-,a,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-
ngar1287,-,-,-,-,-,-,p,-,-,a,m,-,p,u,-,-,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
nyun1247,-,-,-,-,-,-,m,-,-,-,-,-,-,i,-,-,y,a,-,-,l,-,-,b,-,-,a,-,-,t,-
warl1255,-,-,m,i,l,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-
warl1254,p,a,m,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waru1265,-,-,-,-,-,-,w,-,-,a,t,i,k,i,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-
guri1247,-,-,-,-,-,-,k,-,-,a,t,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-
ngar1235,-,-,-,-,-,-,g,-,-,a,d,-,-,u,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-
mudb1240,-,-,-,-,-,-,k,a,m,a,m,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
jaru1254,-,-,-,-,-,-,b,-,-,a,m,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-
adny1235,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,a,-,-,-,-
naru1238,-,-,-,-,-,-,m,-,-,-,-,-,-,i,n,a,d,a,-,m,b,-,-,-,-,-,a,-,-,-,-
dier1241,-,-,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,-,-,u,-,-,-,-
yand1253,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,T,-,-,u,-,-,-,-
dhuw1249,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
djam1256,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
gupa1247,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
guma1253,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
dhan1270,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
dayi1244,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
rita1239,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
yann1237,-,-,-,-,-,-,b,-,-,a,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
djin1253,-,-,-,-,-,-,g,-,-,a,-,-,p,u,-,-,-,-,-,-,L,-,-,-,-,-,a,-,-,-,-
waga1260,-,-,-,-,-,-,k,-,-,i,-,-,T,i,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,L,-
warl1256,-,-,-,-,-,-,N,-,-,a,n,-,m,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yany1243,-,-,-,-,-,-,k,-,-,a,-,-,b,u,-,-,-,-,-,-,T,-,-,-,-,-,i,-,-,-,-
kala1377,-,-,-,-,-,-,d,-,-,a,n,-,-,a,-,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,N
