language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
gami1243,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,d,a,N,-,-,-,-,-,a,-,-,-,-,-,-,-
gami1243,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,d,a,g,-,-,-,-,-,i,-,-,-,-,-,-,-
wira1262,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,N,-,-,-,-
wang1291,t,u,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
muru1266,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kumb1268,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
darl1243,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
guny1241,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
marg1253,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kung1258,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,b,u,l,-,-,-,-,-,i,-,-,-,-,-,-,-
maya1280,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
gugu1255,-,-,-,b,-,-,-,-,-,-,-,-,u,l,-,-,-,e,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-
kuku1273,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-
dyaa1242,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,7,7,-,-
yidi1250,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dyir1250,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,y,-,-,-,-,-,-,-,i,-,-,y,-,-,-,-
warr1255,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,d,-,-,-,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,5,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,N,-,a,-,-
kuku1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,4,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,5,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kuuk1238,-,-,-,p,-,-,-,-,-,-,-,-,u,N,-,-,k,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
gurd1238,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-
ngaa1240,-,-,-,l,a,-,-,5,t,T,a,r,u,-,-,-,k,a,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,k,-,u,-,-
pint1251,-,-,-,p,a,-,-,l,-,y,-,-,u,-,-,-,k,a,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
