language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
gurd1238,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,-,-,i,-,-,d,-,-,-,a,N,k
pint1251,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,i,-,-
pitj1243,a,r,a,r,a,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,5,-,-,-,i,-,-
kuka1246,-,-,-,l,u,N,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,a,-,-
nyan1301,-,-,-,-,-,k,-,-,a,-,-,-,-,p,-,-,-,a,-,-,r,-,-,-,a,-,-
mart1256,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,-,u,n,u,-,-
wanm1242,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,u,-,-
kara1476,-,-,-,-,-,y,-,-,a,-,-,-,-,b,-,-,-,e,-,-,n,-,-,-,a,-,-
kara1476,-,-,-,-,-,y,-,-,a,-,-,-,-,p,-,-,-,i,-,-,n,-,-,-,a,-,-
bayu1240,-,-,-,-,-,y,u,N,u,-,-,-,-,b,i,n,m,a,-,-,y,-,-,-,i,-,-
ngar1287,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,i,b,i,-,-
yind1247,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,u,-,-
warl1254,-,-,-,-,-,k,-,-,i,-,-,-,-,p,-,-,-,i,-,-,n,-,-,-,i,-,-
waru1265,-,-,-,-,-,m,-,-,a,-,n,-,-,p,-,-,-,a,-,-,n,-,-,-,-,-,-
guri1247,-,-,-,-,-,p,-,-,a,-,r,a,k,m,a,n,-,a,-,-,n,-,-,-,a,-,-
mudb1240,-,-,-,-,-,b,-,-,a,-,r,a,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,-,-,-,-,-,T,-,-,a,n,d,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-
warl1256,-,-,-,-,-,-,-,L,i,-,-,-,-,w,-,-,-,a,m,-,-,-,-,-,a,-,-
yany1243,-,-,-,-,-,b,a,d,a,-,-,-,-,b,a,d,-,a,m,a,n,t,a,r,a,-,-
