language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
east2333,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,3,k,-
maaa1253,-,-,n,-,-,7,3,r,-,-,l,h,l,-,a,-,-,s,-,i,-,-,-,-
maaa1253,-,-,n,-,-,-,-,d,-,n,d,-,r,-,-,-,-,-,-,e,-,-,h,-
bulo1242,-,-,n,-,-,-,3,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-
chra1242,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,5,-
sree1244,-,-,t,-,-,-,3,l,i,r,5,h,5,-,3,k,-,-,-,-,-,-,-,-
chil1279,-,-,d,-,-,-,a,7,-,-,n,h,n,-,a,T,t,s,h,i,-,-,-,-
tamp1251,-,-,k,-,-,-,-,-,-,-,-,s,k,-,a,-,-,-,-,i,-,-,7,-
nyah1249,-,-,g,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,E,-,-,7,-
lave1248,-,-,k,-,-,-,3,-,-,-,-,-,T,-,-,-,-,-,-,E,-,-,7,-
oyyy1238,-,-,k,-,-,h,k,-,-,-,-,-,h,-,i,-,-,-,-,a,-,-,w,-
tali1257,-,-,p,-,-,-,3,-,-,-,-,-,N,-,-,-,-,-,-,i,-,-,l,-
alak1253,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,i,-,-,w,-
hala1252,-,-,d,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,h,-
katu1272,-,-,t,-,-,-,3,-,-,-,-,-,w,-,-,-,-,-,-,i,-,e,N,-
west2398,-,-,s,u,t,m,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-
ngeq1245,-,-,m,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-
trii1240,-,-,s,i,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
monn1252,-,-,s,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,e,-,a,k,-
sema1266,-,-,b,-,-,-,-,-,-,-,-,-,l,-,a,-,-,7,-,3,-,-,r,-
temi1246,-,-,b,-,-,-,-,-,-,-,-,-,l,-,a,-,-,7,o,o,-,-,g,-
kens1248,-,-,b,-,-,-,a,-,-,-,-,-,l,-,-,-,-,7,-,u,d,Z,5,-
jeha1242,-,-,b,-,-,-,3,-,-,-,-,-,l,-,-,-,-,7,-,E,-,-,5,-
cent1989,-,-,s,-,-,r,3,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,t,-
nort2684,k,-,h,-,k,h,i,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,w,-
mlab1235,-,-,b,-,-,-,3,-,-,-,n,-,l,-,-,-,-,-,-,i,-,-,N,-
rucc1239,-,-,S,-,-,-,e,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-
mali1278,-,-,s,-,-,-,E,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-
aheu1239,-,-,s,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,E,-,-,w,-
viet1252,-,-,x,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,h,n
ruch1235,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,i,-,a,r,-
ruma1248,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,3,-,-
huuu1240,t,-,S,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,N,-,a,l,-
bitt1240,k,-,h,-,-,-,k,-,-,-,-,-,h,-,-,-,-,-,-,i,-,u,-,-
puoc1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-
mang1378,-,-,v,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-
nanc1247,T,t,s,-,-,-,u,-,-,-,-,-,N,u,a,-,-,-,-,a,-,-,-,-
juan1238,-,-,b,o,-,r,o,-,-,-,n,-,l,-,-,-,-,-,-,a,-,-,g,-
sant1410,-,-,h,3,-,r,i,-,-,-,-,-,y,-,-,-,-,-,-,3,-,-,r,-
mund1320,-,-,g,a,-,d,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-
kork1243,-,-,n,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-
sora1254,-,-,g,-,-,-,3,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-
pare1266,-,-,n,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,i,-,-,-,-
buga1247,-,-,S,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-
