language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
viet1252,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,u,-,N,-,-
mang1378,-,-,-,p,-,-,-,-,-,l,u,-,-,-,-,-,-,t,-,-
maaa1253,-,-,-,n,-,-,-,d,n,d,u,-,-,-,-,-,-,l,-,-
chra1242,-,-,-,k,a,-,n,d,n,d,3,-,-,-,-,-,-,l,-,-
tamp1251,-,-,-,w,a,i,T,t,-,-,-,-,-,-,-,-,-,s,-,-
lave1248,-,-,-,k,-,-,-,-,-,l,a,-,-,-,-,-,-,k,-,-
tali1257,-,-,-,k,-,-,-,-,-,l,a,-,-,-,-,-,-,k,-,-
alak1253,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-
todr1244,-,-,-,p,3,-,-,-,-,d,o,-,-,-,-,-,-,k,-,-
cuaa1241,-,-,-,k,-,-,-,-,-,l,a,-,-,-,-,-,-,k,-,-
ngeq1245,-,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-,-,T,t,s
sooo1254,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-
paco1243,-,-,-,p,3,-,-,-,-,L,u,-,-,-,-,-,-,N,-,-
phon1246,-,-,-,p,-,-,-,-,-,-,3,-,-,-,-,-,-,l,-,-
nyah1250,-,-,-,p,-,h,p,-,-,h,u,-,-,-,-,-,-,N,-,-
monn1252,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-
sema1266,-,-,-,k,-,-,-,-,-,-,3,-,-,-,-,-,-,t,-,-
temi1246,-,-,-,7,-,-,-,-,-,-,e,-,-,-,-,-,-,d,-,Z
jahh1242,-,-,-,k,-,-,-,-,-,-,3,-,-,-,-,-,-,t,-,-
kens1248,-,-,-,7,-,-,-,-,-,-,e,-,-,-,-,-,-,d,-,Z
jeha1242,-,-,-,7,-,-,-,-,-,-,E,-,-,-,-,-,T,t,-,s
seme1247,-,-,-,l,-,-,-,-,-,-,3,-,p,-,-,3,T,t,-,s
sema1265,-,-,-,l,-,-,-,-,-,-,3,-,p,-,-,u,-,t,-,-
cent1989,-,-,-,b,a,-,-,-,-,-,o,-,-,-,-,-,-,h,-,-
nort2684,-,-,-,p,u,-,-,-,-,-,3,-,-,-,-,-,-,h,-,-
aheu1239,k,h,k,h,a,-,-,7,-,7,a,-,-,-,-,-,-,n,-,-
aheu1239,k,h,k,h,a,-,-,-,-,l,u,-,-,-,-,-,-,N,-,-
mlab1235,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,y,-,-
ruch1235,-,-,-,v,-,-,-,-,-,-,E,-,-,-,-,-,-,7,-,-
khan1274,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-
bitt1240,s,3,r,p,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
puoc1238,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
carn1240,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,T,t,-,s
khas1269,k,u,-,p,-,-,-,-,-,-,o,-,-,-,-,-,-,h,-,-
khar1287,-,-,-,l,-,-,-,-,-,-,a,d,-,-,-,-,-,Z,-,-
juan1238,-,-,-,-,-,-,-,-,-,-,i,t,-,i,-,-,-,b,-,-
sant1410,-,-,-,l,-,-,-,-,-,-,a,d,-,-,-,-,-,Z,-,-
mund1320,-,-,-,l,-,-,-,-,-,-,a,7,-,-,-,-,-,i,-,-
kork1243,-,-,-,l,-,-,-,-,-,-,a,d,-,-,-,-,-,Z,-,-
sora1254,-,-,-,k,-,-,-,-,-,-,3,m,p,u,-,u,-,N,-,-
bond1245,-,-,-,s,-,-,-,-,-,-,-,-,-,u,l,o,-,i,-,-
buga1247,-,-,-,S,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
