language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
viet1252,T,-,t,s,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-
mang1378,p,-,-,l,-,a,-,-,-,N,-,p,-,-,l,o,o,-,-,-,-,-,7,-,-
east2333,-,-,-,l,-,E,-,-,-,m,-,-,-,-,-,-,3,-,t,-,-,-,-,-,-
maaa1253,-,-,-,d,-,3,-,-,-,N,n,d,n,-,d,-,3,-,-,-,-,-,-,-,-
maaa1253,-,-,-,d,-,3,-,-,-,N,n,d,n,-,d,-,3,-,-,-,-,-,-,-,-
maaa1253,-,-,-,l,-,E,-,-,-,7,-,r,N,-,-,-,o,T,t,-,-,-,s,-,-
bulo1242,-,-,-,l,-,E,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chra1242,-,-,-,l,-,E,-,-,-,7,-,l,a,-,w,-,o,-,n,-,-,-,-,-,-
tamp1251,-,-,-,t,-,i,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyah1249,-,-,-,t,-,o,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-
lave1248,-,-,-,t,-,o,-,-,-,T,-,-,-,-,-,-,-,-,7,N,i,a,7,-,-
oyyy1238,-,-,-,t,-,o,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-
tali1257,g,-,3,l,-,u,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-
alak1253,-,-,-,h,-,o,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-
hala1252,-,-,-,s,-,i,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
cuaa1241,-,-,-,k,-,a,-,-,-,l,-,-,-,-,-,-,u,-,-,-,-,-,h,-,-
west2398,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,u,N
ngeq1245,-,-,-,t,-,o,-,-,-,T,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-
sooo1254,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,i,-,7,-,-,-,-,-,-
nyah1250,t,h,t,h,-,a,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
monn1252,-,-,-,p,-,a,-,-,-,7,-,-,-,-,-,-,u,i,t,-,-,-,-,-,-
sema1266,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,i,T,t,-,-,-,s,-,-
temi1246,-,-,-,k,-,e,-,-,m,b,-,-,o,-,-,-,o,-,-,-,-,-,h,-,-
kens1248,-,-,-,s,-,o,d,n,m,w,-,-,-,-,-,-,a,-,-,-,-,-,7,-,-
jeha1242,-,-,-,s,-,3,-,-,m,w,-,-,-,-,-,-,E,-,-,-,-,-,y,-,-
seme1247,-,-,-,s,-,3,-,-,-,b,-,-,3,-,r,-,o,-,-,-,-,-,h,-,-
sema1265,-,-,-,n,-,a,-,-,-,h,-,-,-,-,r,-,o,-,-,-,-,-,h,-,-
cent1989,-,-,-,d,-,a,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2684,-,-,-,t,a,a,-,-,-,N,7,-,a,-,-,-,a,-,-,-,-,-,h,-,-
aheu1239,-,-,-,h,-,3,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
mlab1235,-,-,-,p,-,a,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,k,-,-
ruch1235,-,-,-,p,-,a,-,-,i,t,-,-,u,-,-,-,u,-,-,-,-,-,r,-,-
ruma1248,-,-,-,p,-,a,-,-,-,p,-,-,E,m,-,-,E,-,-,-,-,-,h,-,-
khan1274,-,-,-,7,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bitt1240,-,-,-,t,-,a,-,-,-,N,k,-,3,m,t,-,3,-,-,-,-,-,-,-,-
puoc1238,-,-,-,7,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
khas1269,-,-,-,b,-,a,-,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-,h,-,-
khar1287,-,-,-,s,-,a,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
juan1238,-,-,-,s,-,a,-,-,-,b,-,-,-,-,r,-,o,-,-,-,-,-,i,-,-
sant1410,d,-,-,Z,-,o,-,-,-,-,-,-,-,-,t,-,o,-,-,-,-,-,-,-,-
mund1320,-,-,-,s,-,o,-,-,-,b,-,-,e,-,n,-,-,-,-,-,-,-,-,-,-
kork1243,-,-,-,p,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
sora1254,k,-,u,d,-,u,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pare1266,-,-,-,s,-,o,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-
bond1245,g,-,u,l,-,a,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
