language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
viet1252,-,-,-,t,-,-,r,-,a,-,-,i,-,-,-,t,-,-,-,i,-,-,-,-,-,m,-,-,-,-
mang1378,-,-,-,7,-,-,-,-,a,-,-,-,-,-,-,v,-,-,-,a,-,-,-,-,-,m,-,-,-,-
east2333,-,-,-,p,-,-,l,-,E,-,-,-,-,-,-,-,-,n,-,u,d,-,-,Z,-,h,-,-,-,-
maaa1253,-,-,-,p,-,-,l,-,a,-,-,-,-,-,-,-,y,n,-,u,d,-,-,Z,-,h,-,-,-,-
maaa1253,-,-,-,p,-,-,l,-,a,-,-,-,-,-,-,-,y,n,-,u,d,-,-,Z,-,h,-,-,-,-
bulo1242,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,u,-,-,-,-,-,s,-,-,-,-
chra1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,u,d,-,-,Z,-,h,-,-,-,-
tamp1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,o,-,-,-,i,-,h,-,-,-,-
nyah1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,y,-,-,o,-,-,-,-,-,m,-,-,-,-
lave1248,-,-,-,T,-,-,t,s,3,-,-,-,-,-,-,h,-,-,-,3,-,-,-,-,-,m,-,-,-,-
oyyy1238,-,-,-,p,-,-,l,-,a,-,-,-,-,-,-,-,y,t,-,u,-,-,-,a,-,N,-,-,-,-
tali1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,l,-,-,o,-,-,-,-,-,m,-,l,o,7
alak1253,-,-,-,p,-,3,l,-,a,-,-,y,T,3,N,h,-,-,-,3,-,-,-,-,-,m,-,-,-,-
hala1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,r,-,-,i,e,w,-,-,-,-
todr1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,o,d,-,-,Z,-,h,-,-,-,-
cuaa1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,u,-,-,-,-,-,m,-,-,-,-
west2398,-,-,-,p,-,i,l,-,E,-,-,l,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-
ngeq1245,-,-,-,p,-,3,r,-,h,-,-,r,-,-,-,h,-,-,-,e,-,-,-,-,-,m,-,-,-,-
sooo1254,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,h,-,-,-,3,-,-,-,-,-,m,-,-,-,-
phon1246,-,-,-,k,-,-,-,-,a,m,k,h,k,-,-,h,-,-,-,3,-,-,-,-,-,t,-,-,-,-
nyah1250,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,u,-,-,-,-,-,m,-,-,-,-
monn1252,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,m,a,T,o,t
sema1266,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,s,-,-,-,-
temi1246,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,p,-,-,-,-
jahh1242,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-
kens1248,-,-,-,k,-,-,-,-,3,-,-,-,-,-,-,-,-,l,-,a,N,-,5,e,-,s,-,-,-,-
jeha1242,-,-,-,k,-,-,-,-,3,-,-,-,-,-,-,-,-,l,-,a,N,-,-,i,-,s,-,-,-,-
seme1247,d,-,-,Z,-,-,-,-,a,-,-,-,-,-,-,-,-,n,t,u,-,-,-,-,-,N,-,-,-,-
sema1265,-,-,-,g,-,-,-,-,3,-,-,-,-,-,-,-,-,n,-,o,-,-,-,-,-,s,-,-,-,-
cent1989,-,-,-,p,-,-,-,-,3,-,-,-,-,-,-,h,t,t,-,u,-,-,-,-,-,N,-,-,-,-
nort2684,-,-,-,b,-,-,-,-,E,-,-,-,-,-,-,h,-,d,-,o,-,-,-,-,-,N,-,-,-,-
aheu1239,-,-,-,p,h,p,h,-,a,-,-,-,-,-,-,-,-,l,-,o,5,-,-,i,-,m,-,-,-,-
mlab1235,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,-,-,-,7,k,l,o,l
ruch1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,o,-,-,-,i,-,h,-,-,-,-
ruma1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,o,-,-,-,-,-,h,-,-,-,-
huuu1240,-,-,-,S,-,-,-,-,a,-,-,-,-,-,-,k,-,n,-,o,-,-,-,-,-,t,-,-,-,-
khan1274,-,-,-,h,-,u,-,-,3,-,-,-,-,-,-,-,-,T,-,3,-,-,-,-,-,-,-,-,3,-
bitt1240,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,E,-,-,-,-,-,r,-,-,i,-
puoc1238,-,-,-,7,-,-,-,-,e,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-
carn1240,-,-,-,f,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,3,-,-,-,5,-,l,-,-,3,-
khas1269,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,o,N,s,n,a,-,m,-,-,-,-
sant1410,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,o,-,-,-,-,-,-,-,-,-,-
mund1320,d,Z,i,k,-,-,-,-,u,-,-,-,-,-,-,r,-,r,-,a,-,-,-,-,-,m,-,-,-,-
pare1266,-,-,-,g,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,e,-,-,-,-,-,-,-,-,-,-
bond1245,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,u,-,-,-,-,-,k,-,-,-,-
buga1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,u,-,-,-,-,-,k,-,-,-,-
