language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
viet1252,-,-,-,-,-,-,-,v,-,-,-,-,-,-,o,-,-,-,-,7,-,-,-,-
mang1378,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,h,-,-,o,-
east2333,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,p,-,-,-,-
maaa1253,-,-,n,-,d,-,-,n,-,-,-,-,d,-,o,-,-,-,-,-,-,-,-,-
maaa1253,-,-,n,k,h,-,-,k,-,-,-,-,h,-,o,-,-,-,-,p,-,-,-,-
bulo1242,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,p,-,-,-,-
chra1242,-,-,-,-,-,-,-,h,-,-,-,-,m,-,o,-,-,-,-,7,-,-,-,-
tamp1251,-,-,m,-,-,-,-,h,-,-,-,-,m,-,o,-,-,-,-,k,-,-,-,-
nyah1249,-,-,-,-,-,-,-,h,-,-,-,-,m,-,o,-,-,-,-,k,-,-,-,-
lave1248,-,-,-,-,-,-,-,h,-,-,-,-,m,-,o,-,-,-,-,k,-,-,-,-
oyyy1238,-,-,-,-,-,-,-,-,-,-,-,-,m,b,o,-,-,-,-,k,-,-,-,-
tali1257,-,-,-,-,-,-,-,-,-,-,-,-,m,-,o,-,-,-,-,k,-,-,-,-
alak1253,-,-,-,-,-,-,-,h,-,-,-,3,m,b,o,-,-,-,-,k,-,-,-,-
hala1252,-,-,-,-,-,-,-,-,-,-,-,-,m,u,o,-,-,-,-,k,-,-,-,-
todr1244,-,-,-,-,-,-,-,k,-,-,-,3,m,-,u,-,-,-,-,7,-,-,-,-
cuaa1241,-,-,-,-,-,-,-,k,-,-,-,a,d,-,u,-,-,-,-,h,-,-,-,-
west2398,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-
ngeq1245,-,-,n,-,d,n,-,d,-,-,-,-,-,-,o,-,-,-,-,h,-,-,-,-
sooo1254,-,-,n,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,7,-,-,-,-
phon1246,-,-,-,-,-,-,-,k,-,-,-,-,p,-,o,-,r,s,-,7,-,-,u,N
nyah1250,-,-,N,-,-,-,-,k,-,-,-,-,-,-,u,-,-,3,-,r,-,-,-,-
monn1252,-,-,s,-,-,a,-,k,-,-,-,-,-,-,o,-,-,-,-,w,-,-,-,-
sema1266,-,-,T,t,s,-,-,k,-,-,-,-,-,-,o,-,-,-,-,p,-,-,-,-
temi1246,-,-,-,-,s,e,n,k,-,-,-,-,-,-,o,-,-,-,-,7,-,-,-,-
jahh1242,-,-,-,-,-,-,-,k,-,-,-,3,t,-,u,-,-,-,-,7,-,-,-,-
kens1248,-,-,-,-,-,-,-,k,-,-,-,a,t,-,3,-,-,-,-,7,-,-,-,-
seme1247,-,-,-,-,-,-,-,k,-,-,-,u,l,-,i,-,-,-,-,t,-,-,-,-
cent1989,-,-,-,-,-,-,-,s,-,-,-,3,m,p,o,-,-,-,-,k,-,-,-,-
nort2684,-,-,-,-,-,-,-,s,-,-,-,-,m,a,a,-,-,-,-,7,-,-,-,-
aheu1239,-,-,-,-,-,-,-,k,h,k,h,a,7,b,o,-,-,-,-,h,-,-,-,-
mlab1235,-,-,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,g,-,-,u,-
ruch1235,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,-,7,-,-,-,-
ruma1248,-,-,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,a,k,h,a,i,a,i
khan1274,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,-
bitt1240,-,-,-,-,-,-,-,k,-,-,-,-,-,-,3,n,r,o,-,7,-,-,-,-
puoc1238,-,-,-,-,-,-,-,b,-,-,-,-,-,-,3,-,-,-,-,N,-,-,-,-
khas1269,-,-,-,-,-,-,-,s,-,-,-,-,n,-,e,-,-,-,-,p,-,-,-,-
khar1287,-,-,-,-,-,-,-,k,-,-,-,a,l,-,o,-,-,-,-,b,-,-,-,-
khar1287,-,-,-,-,-,-,-,k,-,-,-,a,l,-,o,-,-,-,-,b,-,-,-,-
juan1238,-,-,-,-,-,-,-,k,-,-,-,a,l,-,o,-,-,-,-,b,-,-,-,-
juan1238,-,-,-,-,-,-,-,k,-,-,-,a,l,-,o,-,-,-,-,b,-,-,-,-
sant1410,-,-,-,-,-,-,-,h,-,-,-,a,r,t,a,-,-,-,-,-,-,-,-,-
sant1410,-,-,-,-,-,-,-,h,-,-,-,a,r,t,a,-,-,-,-,-,-,-,-,-
mund1320,-,-,-,-,-,-,-,h,-,-,-,a,r,t,a,-,-,-,-,-,-,-,-,-
mund1320,-,-,-,-,-,-,-,h,-,-,-,a,r,t,a,-,-,-,-,-,-,-,-,-
kork1243,-,-,i,-,-,-,-,s,-,-,-,-,l,-,i,-,-,-,-,-,-,-,-,-
sora1254,k,u,u,-,-,-,-,r,-,-,-,a,N,-,-,-,-,-,-,-,-,-,-,-
pare1266,-,-,u,-,-,-,-,s,-,-,-,a,l,-,-,-,-,-,-,-,-,-,-,-
bond1245,-,-,u,-,-,-,-,s,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-
buga1247,-,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,N,-,-,-,-
jehh1245,-,-,-,-,-,-,-,k,-,-,-,3,d,-,u,-,-,-,-,h,-,-,-,-
