language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
east2333,-,7,-,u,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
maaa1253,-,b,-,u,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
maaa1253,-,b,-,u,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
bulo1242,-,d,-,3,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
chra1242,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
sree1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
chil1279,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
tamp1251,-,N,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
nyah1249,-,-,-,-,-,-,-,-,7,-,-,-,m,-,e,-,-,-,-,-,-,t,r,-,-,-,i,3,-,-
lave1248,-,-,-,-,-,-,-,-,7,-,-,-,m,-,e,-,-,-,-,-,-,t,r,-,-,-,i,3,-,-
oyyy1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,r,-,-,-,i,a,-,-
tali1257,-,-,-,-,-,-,-,-,7,-,-,-,-,-,o,-,n,-,-,-,-,t,r,-,-,-,e,-,-,-
alak1253,-,-,-,-,-,-,-,-,7,-,-,-,-,-,3,-,n,-,-,-,-,k,-,-,-,-,-,a,n,-
cuaa1241,-,k,h,k,-,-,-,-,h,-,-,-,-,-,3,-,-,-,-,-,-,-,l,-,-,-,k,a,d,e
katu1272,-,7,-,a,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
west2398,p,h,-,p,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,n,d,n,d,i,l,-,-
ngeq1245,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
sooo1254,-,r,-,a,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-
trii1240,-,m,-,3,-,-,-,-,s,-,-,-,i,-,3,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-
paco1243,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
phon1246,-,-,-,-,-,-,-,-,7,-,-,-,-,-,a,-,-,-,-,-,-,-,h,k,-,-,i,-,-,-
nyah1250,-,p,h,p,-,-,-,-,h,-,-,-,-,-,3,p,h,-,-,-,p,h,r,-,-,-,-,a,w,-
monn1252,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,u,-
sema1266,-,-,-,-,-,-,-,-,k,-,r,-,d,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
temi1246,-,-,-,-,-,-,-,-,b,-,a,-,b,-,o,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-
jahh1242,-,-,-,-,-,-,-,-,k,r,a,-,7,k,3,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-
kens1248,-,-,-,-,-,-,-,-,m,-,a,-,b,-,E,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-
jeha1242,-,-,-,-,-,-,-,-,b,-,a,-,b,-,o,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-
seme1247,-,-,-,-,-,-,-,-,k,-,3,r,d,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
sema1265,-,-,-,-,-,-,-,-,k,-,3,-,d,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
cent1989,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,t,r,-,-,-,i,-,-,-
nort2684,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,E,-,y,-
mlab1235,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-
rucc1239,-,p,-,u,-,-,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mali1278,-,m,-,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aheu1239,-,-,-,-,-,-,-,-,k,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
viet1252,-,d,-,a,a,n,-,-,b,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ruch1235,-,y,-,i,-,-,-,-,-,-,-,-,p,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
ruma1248,-,-,-,i,-,-,-,-,-,-,-,-,p,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
huuu1240,-,5,-,o,-,m,k,h,k,-,-,-,h,-,3,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
khan1274,-,7,-,e,-,m,-,-,z,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bitt1240,-,-,-,-,-,m,-,a,k,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
puoc1238,-,k,-,-,-,h,-,-,k,-,-,-,h,-,o,-,-,-,-,-,-,-,n,-,-,5,i,5,-,-
mang1378,-,-,-,-,-,-,-,-,h,-,a,-,t,-,3,-,-,-,-,-,-,-,T,-,-,-,3,a,-,-
nanc1247,-,-,-,e,-,n,-,-,k,-,a,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,a,-,-,-
carn1240,-,-,-,-,-,-,-,-,k,-,i,-,k,-,a,-,-,-,-,-,-,-,n,-,-,-,3,-,-,-
khar1287,-,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,n,-,s,e,l,d,d,-,-,-,u,g,-,-
juan1238,-,d,-,-,-,-,-,-,Z,-,u,-,-,-,a,-,N,-,-,-,-,d,d,-,-,a,e,-,-,-
sant1410,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,e,-,d,Z,-,-,-,i,u,-,-
mund1320,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,r,r,-,-,-,i,-,-,-
sora1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,n,-,s,3,-,-,l,-,-,-,o,-,-,-
pare1266,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,n,-,-,i,-,-,-,-,-,-,-,-,-,-
bond1245,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,n,-,-,i,-,7,r,-,-,-,a,m,-,-
khas1269,-,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,n,t,h,-,-,t,h,-,-,e,i,-,-,-
buga1247,-,-,-,-,-,-,-,-,p,-,-,-,-,-,3,-,-,-,-,-,-,-,m,-,-,o,u,-,-,-
