language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
male1282,-,-,-,-,-,N,-,-,-,-,a,-,i,-,-,-,-,-
male1282,-,-,-,-,-,m,-,-,-,-,a,l,i,y,e,N,-,-
bola1249,-,-,-,-,-,m,-,-,-,-,a,l,E,-,-,N,-,-
aheu1239,-,-,-,-,-,y,-,-,-,-,-,-,a,-,-,k,-,-
aheu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,o,n
aheu1239,-,-,-,-,-,5,-,-,-,-,a,-,a,-,-,k,-,-
aheu1239,-,-,-,-,-,5,-,-,-,-,a,-,a,-,-,k,-,-
arem1240,t,-,S,o,o,m,r,-,-,-,a,u,u,-,-,-,-,-
muon1246,-,-,-,-,-,n,g,u,u,o,o,-,i,-,-,-,-,-
nguo1239,-,-,-,-,-,N,-,-,-,-,a,-,y,-,-,-,-,-
nguo1239,-,-,-,-,-,N,-,-,-,-,a,-,y,-,-,-,-,-
viet1252,-,-,-,-,-,N,-,-,-,-,3,-,i,-,-,-,-,-
khmu1256,k,m,h,-,-,m,-,-,-,-,u,-,7,-,-,-,-,-
jeha1242,-,m,-,-,-,n,r,-,-,-,a,-,7,-,-,-,-,-
