language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
male1282,t,-,u,a,-,-,-,N,-,-,-
male1282,t,-,3,a,-,-,a,N,-,-,-
aheu1239,k,-,h,a,l,-,a,7,-,-,-
aheu1239,k,-,h,a,l,-,a,-,-,-,-
aheu1239,-,-,-,-,d,-,a,n,-,-,-
aheu1239,-,-,-,-,d,-,a,n,-,-,-
arem1240,-,-,-,u,r,E,a,7,-,-,-
muon1246,k,-,h,a,-,-,a,-,-,-,-
muon1246,k,-,h,-,-,-,a,-,-,-,-
muon1246,k,-,h,-,-,-,a,-,-,-,-
muon1246,t,-,h,-,-,-,a,-,-,-,-
nguo1239,7,-,-,-,-,-,a,N,d,i,-
nguo1239,t,-,-,-,-,-,a,N,t,i,7
viet1252,d,u,u,o,-,-,o,n,-,-,g
khmu1256,N,-,-,-,-,-,o,r,-,-,-
jeha1242,g,-,-,-,l,-,o,N,-,-,-
