language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
mali1278,k,-,h,-,-,-,r,-,E,h
mali1278,k,-,h,-,a,-,l,-,i,h
bola1249,-,-,-,-,-,-,l,E,E,N
aheu1239,k,-,h,-,a,-,l,i,i,h
rucc1239,k,-,s,a,a,-,n,-,-,-
mayy1239,k,a,S,-,a,-,n,-,-,-
toum1239,k,-,-,-,o,-,N,-,-,-
lyha1238,k,-,-,-,o,-,N,-,-,-
phon1243,k,-,s,-,a,-,n,-,-,-
thoo1240,k,-,-,-,3,-,N,-,-,-
muon1246,h,-,-,o,o,-,n,-,-,g
muon1246,k,-,-,-,o,-,N,-,-,-
nguo1239,k,-,-,-,3,-,N,-,-,-
viet1252,k,-,-,-,3,-,N,-,-,-
arem1240,t,-,h,-,a,n,n,-,-,-
khmu1256,k,-,l,-,o,-,n,-,-,-
