language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
male1282,t,3,p,e,l,-,-,-,-,-,-,-
male1282,t,3,p,e,l,-,-,-,-,-,-,-
aheu1239,-,-,m,a,l,-,-,u,-,-,-,-
aheu1239,-,-,m,a,l,-,u,u,-,-,-,-
aheu1239,-,-,b,a,l,-,u,u,-,-,-,-
arem1240,-,-,-,u,l,a,u,u,-,-,-,-
muon1246,-,-,-,-,l,-,-,u,-,-,-,-
muon1246,-,-,b,-,l,-,-,u,-,-,-,-
nguo1239,-,-,7,-,l,-,-,a,y,b,e,n
nguo1239,-,-,t,-,-,-,-,a,y,p,e,n
thoo1240,-,-,-,-,-,-,-,-,-,p,a,-
viet1252,-,-,-,-,d,-,-,u,-,-,i,-
khmu1256,-,-,b,-,l,-,-,u,-,-,-,7
jeha1242,-,-,b,-,l,-,-,3,-,-,-,7
