language,x1,x2,x3,x4,x5,x6,x7
mali1278,-,-,p,-,o,-,n
mali1278,-,-,7,-,e,-,N
khap1242,-,-,k,-,o,-,7
khap1242,-,-,k,-,o,-,-
bola1249,-,-,T,-,a,-,k
aheu1239,-,-,k,-,a,-,n
aheu1239,-,-,k,-,a,-,n
aheu1239,-,-,k,-,a,a,n
aheu1239,-,-,k,-,a,a,n
sach1240,-,-,h,-,o,-,-
rucc1239,-,-,h,-,o,-,-
mayy1239,7,a,h,-,o,-,-
male1282,-,a,h,-,o,-,-
male1282,-,a,h,-,o,-,-
toum1239,-,-,s,-,a,-,w
lyha1238,-,-,s,-,a,-,w
cuoi1242,-,-,h,-,o,-,w
cuoi1242,-,-,h,-,o,-,w
viet1250,-,-,s,-,o,-,-
muon1246,-,-,h,-,o,-,-
nguo1239,-,-,7,-,u,-,y
nguo1239,-,-,t,-,o,-,-
viet1252,-,-,t,a,u,-,-
arem1240,-,-,k,-,u,u,7
khmu1256,-,-,7,-,o,-,7
jeha1242,-,-,y,-,E,-,7
