language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
mali1278,-,m,-,E,-,-,-,N,-,-
mali1278,-,m,-,3,-,-,-,n,-,-
khap1242,-,m,-,E,-,-,-,N,-,-
khap1242,-,m,-,E,-,-,-,N,-,-
bola1249,-,m,-,E,-,-,-,N,-,-
aheu1239,-,k,3,o,-,-,-,N,-,-
aheu1239,-,s,-,-,-,-,-,n,u,y
aheu1239,-,k,o,o,-,-,-,N,-,-
aheu1239,-,k,o,o,-,-,-,N,-,-
sach1240,-,k,-,a,-,-,-,N,-,-
rucc1239,-,k,-,a,a,-,-,N,-,-
mayy1239,-,k,-,a,-,-,-,N,-,-
male1282,-,k,-,a,-,-,-,N,-,-
male1282,-,k,-,a,a,-,-,N,-,-
lyha1238,-,m,-,a,-,-,-,5,-,-
cuoi1242,-,m,-,o,-,-,-,m,-,-
cuoi1242,-,b,-,o,-,-,-,7,-,-
thoo1240,-,m,-,o,-,-,-,m,-,-
viet1250,-,m,-,o,-,-,-,m,-,-
muon1246,-,m,-,e,e,n,h,n,-,h
muon1246,-,m,-,o,-,-,-,m,-,-
muon1246,-,m,-,o,-,-,-,m,-,-
muon1246,-,m,-,o,-,-,-,m,-,-
nguo1239,-,m,-,o,-,-,-,m,-,-
viet1252,-,m,-,i,-,-,-,N,-,-
arem1240,-,k,E,a,-,N,-,N,-,-
khmu1256,t,n,-,o,-,-,-,h,-,-
