language,x1,x2,x3,x4
jehh1245,T,-,E,n
jehh1245,d,-,u,m
hala1252,T,-,E,n
hala1252,d,-,u,m
reng1252,T,-,i,n
bahn1262,d,-,u,m
bahn1262,d,-,u,m
bahn1262,d,-,u,m
seda1262,T,-,e,n
seda1262,t,u,3,m
roma1331,T,-,E,n
cuaa1241,d,-,o,p
alak1253,t,-,u,m
tali1257,T,-,e,n
tali1257,d,-,o,m
lave1249,T,-,e,n
lave1249,d,-,u,m
sapu1248,d,-,3,m
lave1248,T,-,e,n
lave1248,d,-,u,m
nyah1249,T,-,e,n
nyah1249,d,-,u,m
chra1242,s,-,3,n
chra1242,d,-,u,m
bulo1242,s,-,e,n
bulo1242,d,-,u,m
cent1992,d,-,u,m
cent1992,d,-,u,m
koho1244,s,-,i,n
koho1244,d,-,u,m
east2333,d,-,3,m
east2333,s,-,3,n
tamp1251,t,-,u,m
