language,x1,x2,x3,x4,x5,x6
jehh1245,-,-,b,-,a,l
hala1252,h,3,b,-,3,l
reng1252,h,3,b,-,3,l
bahn1262,h,3,b,-,3,l
bahn1262,h,3,b,-,3,l
bahn1262,h,3,b,-,3,l
seda1262,h,3,b,-,o,-
roma1331,h,3,p,u,o,L
cuaa1241,7,a,h,m,o,l
alak1253,T,-,-,-,3,r
tali1257,7,3,b,-,a,l
lave1248,k,-,b,-,3,l
nyah1249,g,-,-,-,u,-
jeng1241,k,a,v,-,u,-
lave1249,k,3,w,-,3,w
chra1242,-,-,v,-,3,l
bulo1242,m,-,b,-,3,l
cent1992,m,-,p,-,3,l
cent1992,-,-,b,-,3,l
cent1992,-,-,b,-,3,l
koho1244,m,-,b,-,3,l
east2333,-,-,7,-,3,t
tamp1251,k,a,p,-,u,l
