language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,p,l,-,-,u,-,N,-
hala1252,p,l,-,-,u,-,N,-
reng1252,p,l,-,-,u,-,N,-
bahn1262,p,l,-,-,u,-,N,-
seda1262,-,d,-,-,o,-,-,-
roma1331,p,l,a,-,u,k,N,-
cuaa1241,-,g,e,b,o,-,k,-
alak1253,-,t,-,-,u,-,k,-
tali1257,-,d,-,-,u,-,k,-
lave1249,-,d,-,-,u,-,k,-
sapu1248,-,d,-,-,u,o,k,-
lave1248,-,d,-,-,u,o,k,-
nyah1249,-,d,-,-,u,o,k,-
chra1242,-,d,-,-,u,-,7,-
bulo1242,-,d,-,-,u,-,k,-
cent1992,-,d,-,-,u,-,k,-
cent1992,-,d,-,-,u,-,k,-
koho1244,p,l,-,-,u,-,N,-
east2333,-,b,-,-,a,-,k,e
tamp1251,-,t,u,-,u,-,k,-
