language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,-,k,-,E,y,-,-,-
jehh1245,-,t,-,a,w,-,-,-
hala1252,-,7,l,a,y,-,-,-
hala1252,-,s,-,a,w,-,-,-
hala1252,-,k,-,E,-,-,-,-
reng1252,-,h,l,o,7,-,-,-
bahn1262,-,b,-,o,h,-,-,-
bahn1262,-,b,-,o,h,-,-,-
bahn1262,-,b,-,o,h,-,-,-
seda1262,-,h,n,a,y,-,-,-
roma1331,-,k,-,3,L,-,-,-
cuaa1241,-,h,l,o,7,-,-,-
alak1253,-,t,-,a,l,-,-,-
tali1257,-,t,-,a,u,-,-,-
lave1248,-,t,-,a,w,-,-,-
nyah1249,-,t,-,3,-,-,-,-
sapu1248,-,t,-,a,y,-,-,-
jeng1241,-,t,-,a,3,-,-,-
lave1249,-,t,-,a,y,-,-,-
chra1242,-,s,-,e,n,-,-,-
bulo1242,T,h,-,a,w,-,-,-
cent1992,-,7,-,a,5,-,-,-
cent1992,T,h,-,a,y,-,-,-
cent1992,-,-,-,a,n,s,3,3
cent1992,-,w,-,a,5,-,-,-
koho1244,-,g,-,o,-,-,-,-
east2333,-,s,-,o,-,-,-,-
tamp1251,-,h,-,a,y,-,-,-
