language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
jehh1245,-,t,-,3,t,a,-,-,S,-,-
hala1252,-,h,-,3,t,E,-,-,h,-,-
hala1252,-,w,-,a,-,-,-,-,r,-,-
reng1252,-,p,-,o,-,-,-,-,y,-,-
bahn1262,-,p,-,3,m,a,-,-,-,-,-
bahn1262,k,h,-,-,-,a,-,-,n,-,-
bahn1262,k,h,-,-,-,a,-,-,n,-,-
bahn1262,-,p,-,3,m,a,-,-,-,-,-
bahn1262,k,h,-,-,-,a,-,-,n,-,-
bahn1262,-,p,-,3,m,a,-,-,-,-,-
seda1262,-,d,r,u,-,3,-,-,-,-,-
seda1262,-,t,-,-,-,o,-,-,y,-,-
roma1331,k,r,-,-,-,a,-,-,7,-,-
cuaa1241,-,t,-,-,-,a,w,-,7,-,-
cuaa1241,-,s,-,-,-,a,-,-,n,o,h
alak1253,-,7,-,-,-,o,-,-,y,-,-
tali1257,-,s,-,-,i,3,-,-,-,-,-
lave1249,-,m,-,-,-,a,-,-,N,-,-
lave1249,-,r,-,-,i,a,-,-,n,-,-
sapu1248,b,l,-,-,-,o,-,-,k,-,-
lave1248,-,7,-,-,m,a,-,-,N,-,-
lave1248,-,l,-,-,-,o,-,-,5,-,-
nyah1249,-,7,-,-,m,a,-,-,N,-,-
chra1242,-,5,-,-,-,a,-,-,y,-,-
bulo1242,-,N,-,-,-,o,-,-,y,-,-
bulo1242,-,l,-,-,-,3,-,-,h,-,-
cent1992,-,m,-,-,-,3,5,a,y,-,-
cent1992,-,m,-,-,-,3,y,a,y,-,-
cent1992,-,N,-,-,-,3,-,-,y,-,-
koho1244,-,l,-,-,-,a,-,-,h,-,-
east2333,-,l,-,-,-,a,-,-,h,-,-
tamp1251,-,k,-,-,-,a,-,-,p,-,-
tamp1251,p,h,-,-,-,a,-,-,-,-,-
