language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,-,-,-,p,-,a,-,y
hala1252,-,-,-,p,-,a,-,y
reng1252,-,-,-,p,-,a,-,y
bahn1262,-,-,-,p,-,a,-,y
bahn1262,-,-,-,p,-,a,-,y
bahn1262,-,-,-,p,-,a,-,y
seda1262,-,-,-,p,-,e,-,-
roma1331,-,-,-,p,-,a,-,y
cuaa1241,-,-,-,b,-,a,-,k
alak1253,-,-,-,p,-,3,-,t
tali1257,-,-,-,b,-,o,-,S
lave1248,-,-,-,b,u,-,-,s
nyah1249,-,-,-,b,u,i,-,h
sapu1248,-,-,-,b,u,i,-,h
jeng1241,s,r,u,p,u,a,-,r
jeng1241,-,-,-,k,r,a,-,k
lave1249,-,-,-,b,-,u,-,x
lave1249,-,-,-,p,-,a,-,y
chra1242,-,-,-,g,-,3,-,m
bulo1242,-,-,-,T,-,3,-,m
cent1992,-,d,3,g,-,o,-,n
cent1992,-,d,3,g,-,a,w,n
cent1992,-,n,-,k,-,o,-,n
koho1244,-,-,-,p,-,a,-,y
east2333,-,s,-,r,-,o,-,N
east2333,-,-,-,r,-,i,-,7
east2333,-,-,-,g,-,a,-,m
tamp1251,-,-,-,p,-,a,-,e
