language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
jehh1245,-,-,r,-,i,a,-,S,-,-,-
hala1252,-,-,r,-,i,3,-,h,-,-,-
reng1252,-,-,r,-,i,-,-,h,-,-,-
bahn1262,-,-,r,-,-,3,-,h,-,-,-
bahn1262,-,-,r,-,-,3,-,h,-,-,-
bahn1262,-,-,r,-,-,3,-,h,-,-,-
seda1262,-,-,r,-,-,E,-,y,-,-,-
roma1331,-,-,r,-,-,o,y,S,-,-,-
cuaa1241,-,-,r,-,e,a,-,h,-,-,-
alak1253,-,-,r,-,-,E,-,h,-,-,-
tali1257,7,3,r,-,i,3,-,h,-,-,-
lave1249,-,-,r,-,i,a,-,x,-,-,-
sapu1248,-,-,r,-,i,a,-,h,l,o,N
lave1248,-,-,r,-,i,a,-,s,-,-,-
nyah1249,-,-,r,-,i,a,-,h,-,-,-
chra1242,d,-,r,-,i,e,-,h,-,-,-
bulo1242,d,-,r,-,i,e,-,h,-,-,-
cent1992,3,-,r,-,i,E,-,h,-,-,-
cent1992,-,-,r,-,-,E,-,h,s,i,-
cent1992,-,-,r,-,-,e,-,h,s,i,-
koho1244,-,-,r,-,i,a,-,s,-,-,-
east2333,-,-,r,-,-,E,-,h,-,-,-
tamp1251,-,-,r,a,y,a,-,h,-,-,-
