language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,-,-,h,-,-,a,-,k
hala1252,-,-,h,-,-,a,-,k
reng1252,-,-,h,-,-,a,-,k
bahn1262,-,-,h,-,-,a,-,k
bahn1262,-,-,h,-,-,a,-,k
bahn1262,-,-,h,-,-,a,-,k
seda1262,-,-,h,e,-,3,-,-
roma1331,-,-,h,-,-,a,-,k
cuaa1241,-,-,h,-,-,a,-,7
tali1257,-,-,7,3,t,a,-,7
lave1248,k,3,h,-,-,a,-,k
nyah1249,-,-,d,3,-,3,-,7
nyah1249,T,-,r,-,-,a,-,k
sapu1248,-,-,d,3,-,3,-,7
jeng1241,-,-,d,-,-,3,-,7
lave1249,-,-,d,-,-,3,-,7
chra1242,-,-,h,-,-,o,-,7
bulo1242,-,-,h,-,-,o,-,k
cent1992,-,-,h,-,-,o,-,k
cent1992,-,-,h,-,-,a,w,k
cent1992,-,-,h,-,-,o,-,k
koho1244,-,-,h,-,-,a,-,7
east2333,-,-,h,u,-,o,-,k
tamp1251,-,-,h,-,-,a,-,k
