language,x1,x2,x3,x4,x5
jehh1245,7,-,i,a,l
hala1252,7,-,i,3,r
reng1252,7,-,i,-,r
bahn1262,7,-,y,E,r
bahn1262,7,-,y,E,r
bahn1262,7,-,y,E,r
seda1262,7,-,i,-,-
roma1331,7,a,i,-,L
cuaa1241,7,-,i,-,l
alak1253,7,-,-,E,r
tali1257,7,-,i,3,r
lave1248,7,-,i,a,r
nyah1249,7,-,i,a,n
sapu1248,7,-,i,a,r
jeng1241,7,-,i,a,r
lave1249,7,y,i,a,r
chra1242,7,-,i,e,r
bulo1242,7,-,i,e,r
cent1992,7,-,i,3,-
cent1992,7,-,e,3,-
cent1992,-,-,y,a,r
koho1244,7,-,i,a,r
east2333,7,-,i,e,r
tamp1251,7,-,y,E,r
