language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,p,e,-,n,-,-,-,-
hala1252,p,e,-,n,-,-,-,-
reng1252,h,3,-,r,-,i,-,h
bahn1262,7,a,d,r,-,i,-,h
bahn1262,7,a,d,r,-,i,-,h
bahn1262,h,3,d,r,-,i,-,h
seda1262,-,-,-,r,-,E,-,h
cuaa1241,-,-,-,r,-,i,l,h
alak1253,p,-,-,r,-,o,-,s
lave1249,-,-,-,5,-,i,-,w
lave1248,-,-,-,d,-,E,-,y
nyah1249,-,-,-,5,-,i,-,w
chra1242,-,-,-,r,-,i,-,h
bulo1242,-,-,-,r,-,e,-,h
cent1992,-,-,-,r,-,e,-,h
koho1244,-,-,-,r,-,i,-,s
east2333,b,-,-,r,-,e,-,h
tamp1251,7,-,N,r,3,i,-,s
