language,x1,x2,x3,x4,x5,x6,x7
jehh1245,p,-,l,a,y,-,-
hala1252,p,-,l,a,y,-,-
reng1252,p,-,l,-,i,-,-
bahn1262,p,-,l,E,y,-,-
bahn1262,p,-,l,E,y,-,-
bahn1262,p,-,l,E,y,-,-
seda1262,p,-,l,a,y,-,-
roma1331,p,-,l,a,y,-,-
cuaa1241,p,-,l,a,y,-,-
alak1253,p,a,l,a,y,-,-
tali1257,p,-,l,a,y,-,-
lave1248,p,-,l,a,y,-,-
nyah1249,p,-,l,e,-,-,-
sapu1248,p,-,l,a,y,-,-
jeng1241,p,-,l,a,y,-,-
lave1249,p,-,l,a,y,-,-
chra1242,p,-,l,a,y,-,-
bulo1242,p,-,l,a,y,-,-
cent1992,p,-,l,E,y,-,-
cent1992,p,-,l,a,y,s,i
cent1992,p,-,l,a,y,-,-
koho1244,p,-,l,a,y,-,-
east2333,p,-,l,E,-,-,-
tamp1251,p,-,l,a,y,-,-
