language,x1,x2,x3,x4
jehh1245,m,-,u,h
hala1252,m,-,u,h
reng1252,m,-,u,h
bahn1262,m,-,u,h
bahn1262,m,-,u,h
bahn1262,m,-,u,h
seda1262,m,-,o,h
roma1331,m,a,u,h
cuaa1241,m,-,u,h
alak1253,m,-,u,h
tali1257,m,-,o,h
lave1248,m,-,u,h
nyah1249,m,-,u,h
sapu1248,m,-,u,h
jeng1241,m,-,u,h
lave1249,m,-,u,h
chra1242,m,-,u,h
bulo1242,m,-,o,h
cent1992,m,-,o,h
cent1992,m,a,w,x
cent1992,m,-,u,h
koho1244,m,-,u,h
east2333,m,-,o,h
tamp1251,m,o,u,h
