language,x1,x2,x3,x4,x5,x6,x7
jehh1245,k,-,-,l,-,a,k
jehh1245,p,3,-,d,-,o,k
hala1252,b,3,-,t,-,u,k
reng1252,p,3,-,d,-,u,k
bahn1262,k,-,-,l,-,a,k
bahn1262,k,-,-,l,-,a,k
bahn1262,k,-,-,l,-,a,k
seda1262,k,-,-,l,e,3,-
roma1331,p,3,-,t,-,u,k
cuaa1241,b,-,-,-,-,o,N
alak1253,k,-,-,l,-,a,k
tali1257,k,-,-,l,-,a,k
lave1248,k,-,-,l,-,a,k
nyah1249,k,-,-,l,-,a,k
sapu1248,k,-,-,l,-,a,k
jeng1241,k,-,-,l,-,a,k
lave1249,p,3,-,d,-,i,w
chra1242,k,h,-,l,-,3,m
chra1242,p,3,-,r,-,a,m
bulo1242,k,3,n,d,-,3,l
cent1992,k,3,-,d,-,u,l
cent1992,k,3,n,d,-,u,l
cent1992,-,-,n,t,-,u,l
koho1244,k,3,n,d,-,u,l
east2333,n,-,-,d,-,3,l
east2333,k,-,-,h,-,u,N
tamp1251,w,-,-,-,-,a,T
