language,x1,x2,x3,x4,x5,x6,x7
jehh1245,t,-,3,d,r,a,w
hala1252,d,r,3,d,r,a,w
reng1252,t,-,3,d,r,-,u
bahn1262,-,-,-,d,r,o,w
bahn1262,t,-,3,d,r,o,w
bahn1262,t,-,3,d,r,o,w
bahn1262,t,-,3,d,r,o,w
seda1262,t,-,3,d,r,o,w
roma1331,t,-,-,-,x,a,w
cuaa1241,k,-,a,d,r,o,w
alak1253,t,-,a,-,r,a,w
tali1257,t,-,3,-,r,a,w
lave1249,t,-,-,-,r,a,w
sapu1248,t,-,-,-,r,a,w
lave1248,t,-,-,-,r,a,w
nyah1249,t,-,-,-,r,o,-
chra1242,p,-,-,-,r,a,w
bulo1242,p,-,-,-,r,a,w
cent1992,p,-,-,-,r,o,w
cent1992,p,-,-,-,r,a,w
cent1992,p,-,-,-,r,a,w
koho1244,p,-,-,-,r,a,w
east2333,p,-,-,-,r,o,-
tamp1251,t,-,-,-,r,a,o
