language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,t,3,-,p,-,e,-,h
hala1252,t,3,-,p,-,e,-,h
reng1252,t,3,-,p,-,3,-,S
bahn1262,t,3,-,p,-,3,-,h
bahn1262,t,3,-,p,-,3,-,h
bahn1262,t,3,-,p,-,3,-,h
seda1262,t,3,-,p,-,a,-,h
roma1331,t,3,-,p,-,a,u,h
cuaa1241,k,a,-,p,-,3,-,h
alak1253,t,3,m,p,-,o,-,h
tali1257,t,3,-,p,-,o,-,h
lave1248,-,-,-,p,-,o,-,h
nyah1249,-,-,-,p,-,a,-,h
sapu1248,-,-,-,p,-,a,-,h
jeng1241,-,-,-,p,-,a,-,h
lave1249,-,-,-,p,-,3,-,h
chra1242,-,-,-,p,-,o,-,h
bulo1242,-,-,-,p,-,o,-,h
cent1992,-,-,-,b,-,3,-,h
cent1992,-,-,-,p,-,3,-,X
cent1992,-,-,-,p,-,i,-,T
koho1244,-,-,-,p,-,o,-,h
east2333,-,-,-,p,-,o,-,h
tamp1251,7,m,-,p,a,3,-,h
