language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
jehh1245,-,-,-,-,7,l,o,-,-,-,-,N
hala1252,-,-,-,-,7,l,o,-,-,a,-,N
reng1252,-,-,-,-,-,l,o,-,-,-,-,N
bahn1262,-,-,-,-,7,l,o,-,-,-,-,N
bahn1262,-,-,-,-,7,l,o,-,-,-,-,N
bahn1262,-,-,-,-,7,l,o,-,-,-,-,N
seda1262,-,-,-,-,-,l,o,-,-,3,-,N
roma1331,-,-,-,-,-,l,o,N,7,a,u,N
cuaa1241,-,-,-,-,7,-,o,-,-,-,-,l
alak1253,t,-,3,m,7,l,o,-,-,-,-,N
tali1257,t,-,o,m,-,l,o,-,-,-,-,N
lave1249,t,-,3,m,-,l,o,-,-,-,-,N
sapu1248,-,-,-,-,-,l,o,-,-,-,-,N
lave1248,t,-,o,m,7,l,o,-,-,-,-,N
nyah1249,t,-,a,m,7,l,o,-,-,-,-,N
tamp1251,t,a,3,m,7,l,o,-,-,-,-,N
