language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
port1283,-,k,a,b,-,-,-,e,-,-,-,l,-,-,-,-,-,u
stan1288,-,-,-,p,-,-,-,e,-,-,-,l,-,-,-,-,-,o
stan1289,-,k,3,b,-,-,-,E,-,-,-,L,-,-,-,-,-,s
ital1282,-,k,a,p,-,-,-,e,-,-,-,l,-,-,-,-,-,i
neap1235,-,k,a,p,-,-,-,i,-,-,-,l,-,-,-,-,-,3
friu1240,-,T,a,v,-,-,-,e,-,-,-,y,-,-,-,-,-,-
roma1327,-,-,-,p,-,-,-,3,-,-,-,r,-,-,-,-,-,-
stan1290,-,S,3,v,-,-,-,e,-,-,-,-,-,-,-,-,-,-
wall1255,d,Z,-,v,-,-,-,E,-,-,-,-,-,-,-,-,-,-
dutc1256,-,-,-,h,-,-,-,a,-,-,-,r,-,-,-,-,-,-
west2354,-,-,-,h,i,-,-,3,-,-,-,r,-,-,-,-,-,-
stan1295,-,-,-,h,a,-,-,a,-,-,-,-,-,-,-,-,-,-
luxe1241,-,-,-,h,o,-,-,o,-,-,-,-,-,-,-,-,-,-
swis1247,-,-,-,h,-,-,-,a,-,-,-,r,-,-,-,-,-,-
icel1247,-,-,-,h,a,-,-,u,-,-,-,r,-,-,-,-,-,-
swed1254,-,-,-,h,-,-,-,o,-,-,-,r,-,-,-,-,-,-
swed1254,-,-,-,h,-,-,-,o,-,-,-,r,-,-,-,-,-,-
faro1244,-,-,-,h,-,-,-,o,-,-,a,r,-,-,-,-,-,-
dani1285,-,-,-,h,-,-,-,o,-,-,-,-,-,-,-,-,-,-
lith1251,-,-,-,p,-,l,-,o,u,k,a,s,-,-,-,-,-,-
latv1249,-,-,-,m,-,-,-,o,-,t,-,s,-,-,-,-,-,-
czec1258,-,-,-,b,-,l,-,o,-,-,-,s,-,-,-,-,-,3
czec1258,-,-,-,v,-,l,-,o,-,-,-,s,-,-,-,-,-,i
slov1269,-,-,-,v,-,l,-,o,-,-,-,s,-,-,-,-,-,i
poli1260,-,-,-,v,-,l,-,o,-,-,-,s,-,-,-,-,-,3
poli1260,-,-,-,v,-,w,-,o,-,-,-,s,-,-,-,-,-,3
slov1268,-,-,-,-,-,l,-,o,-,-,-,s,-,-,-,-,-,E
ukra1253,-,-,-,b,o,l,-,o,-,-,-,s,-,y,-,-,-,a
rusy1239,-,-,-,v,o,l,-,o,-,-,-,s,-,-,-,-,-,u
bela1254,-,-,-,v,a,l,-,a,-,-,-,s,-,-,-,-,-,3
russ1263,-,-,-,v,o,l,-,3,-,-,-,s,-,-,-,-,-,3
lowe1385,-,-,-,w,-,-,-,o,-,-,-,s,-,-,-,-,-,E
uppe1395,-,-,-,w,-,-,-,o,-,-,-,s,-,-,-,-,-,3
kash1274,-,-,-,v,-,w,-,o,-,-,-,s,-,-,-,-,-,E
bulg1262,-,-,-,k,-,-,-,u,-,-,-,s,-,-,-,-,-,o
mace1250,-,-,-,k,-,-,-,u,-,-,-,s,m,y,-,-,-,a
mace1250,-,-,-,k,-,-,-,o,-,-,-,s,m,y,i,n,t,a
mace1250,-,-,-,k,-,-,-,o,-,-,-,s,-,-,-,-,-,o
gawa1247,-,k,-,h,-,-,-,e,-,-,-,s,-,-,-,-,-,-
kala1373,-,-,-,b,-,-,-,o,-,-,-,l,-,-,-,-,-,-
khow1242,-,-,-,p,-,h,-,u,-,-,-,r,-,-,-,-,-,-
nort2665,-,t,-,S,-,-,-,o,-,-,-,l,-,-,-,-,-,3
hind1269,-,-,-,b,-,-,-,o,-,-,-,l,-,-,-,-,-,-
urdu1245,-,-,-,b,-,-,-,o,-,-,-,l,-,-,-,-,-,-
bhoj1244,-,-,-,b,-,-,-,o,-,-,-,r,-,-,-,-,-,-
maga1260,-,-,-,k,-,-,-,e,-,-,-,s,-,-,-,-,-,-
mait1250,-,-,-,k,-,-,-,e,-,-,-,S,-,-,-,-,-,-
mara1378,-,-,-,k,-,-,-,e,-,-,-,s,-,-,-,-,-,-
beng1280,-,t,-,S,-,-,-,u,-,-,-,l,-,-,-,-,-,-
assa1263,-,-,-,s,-,-,-,u,-,-,-,l,-,-,-,-,-,i
kash1277,-,-,-,m,-,-,-,o,-,-,-,s,-,-,-,-,-,-
kamv1242,-,-,-,Z,-,-,-,i,-,-,-,-,-,-,-,-,-,-
ashk1246,-,-,-,Z,-,-,-,3,-,-,-,-,-,-,-,-,-,-
west2369,-,-,-,m,-,-,-,u,-,-,-,-,-,-,-,-,-,-
bakh1245,-,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kumz1235,-,-,-,m,-,-,-,u,-,-,-,-,-,-,-,-,-,-
mode1248,-,-,-,m,-,-,-,a,-,-,-,L,-,-,-,-,-,a
cypr1249,-,-,-,m,-,-,-,a,-,-,-,L,-,-,-,-,-,a
pont1253,-,-,-,m,-,-,-,a,-,-,-,l,-,-,i,-,-,3
capp1239,-,-,-,m,-,-,-,a,-,-,-,L,-,-,-,-,-,a
apul1236,-,-,-,m,-,-,-,a,-,-,-,d,-,d,i,-,-,a
homs1234,-,-,-,m,-,-,-,o,-,-,-,z,-,-,-,-,-,-
nucl1235,-,-,-,m,-,-,-,o,-,-,-,z,-,-,-,-,-,-
iris1253,-,g,-,w,-,r,w,u,-,-,3,T,-,-,-,-,-,-
