language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
mode1248,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
cypr1249,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
pont1253,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
capp1239,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
apul1236,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,o,-,-,-,-
anci1242,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
koin1234,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,o,-,-,-,-
tokh1243,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-
tokh1242,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,S,-
sout2614,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,E,-,r,-,-,-,-,-,-,-,-,E,-,-,-,-
barb1262,-,E,r,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,E,-,r,-,-,-,-,-,-,-,-,E,-,-,-,-
lati1261,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,d,-,e,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-
port1283,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-
stan1288,-,-,-,-,r,-,-,-,-,-,-,-,-,-,e,-,i,-,-,-,-,-,-,r,-,s,-,-,-,-,-,-,e,-,-,-,-
stan1289,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,w,-,-,-,r,-,-,-,-,-,-,-,-,3,-,-,-,-
oldc1251,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,w,-,-,-,r,-,-,-,-,-,-,-,-,3,-,-,-,-
ital1282,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,d,-,e,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-
neap1235,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,3,-,r,-,-,-,-,-,-,-,-,3,-,-,-,-
friu1240,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-
roma1327,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,e,-,-,-,-
stan1290,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
fran1269,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,3,-,-,-,-
oldh1241,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,a,-,-,n,-
midd1343,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,3,-,-,n,-
midd1321,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,3,-,-,n,-
olds1250,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,h,-,h,-,y,-,-,-,-,a,-,-,n,-
olde1238,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,o,-,-,n,-
dutc1256,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,3,-,-,n,-
oldf1241,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,k,-,k,-,y,-,-,-,-,a,-,-,-,-
west2354,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,i,t,-,-,-,S,-,-,-,-,-,-,-,-,3,-,-,-,-
stan1295,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,n,-
luxe1241,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,3,-,-,n,-
swis1247,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,3,-,-,-,-
goth1244,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,h,-,-,-,y,-,-,-,-,a,-,-,n,-
swed1254,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,a,-,-,-,-
swed1254,-,-,s,k,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-
oldn1244,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,a,-,-,-,-
icel1247,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,i,-,-,-,-,y,-,-,-,-,-,-,-,-,a,-,-,-,-
faro1244,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
norw1259,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
norw1262,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-
dani1285,-,-,-,-,g,-,-,-,-,-,-,-,-,-,X,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,3,-,-,-,-
elfd1234,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lowe1385,-,-,-,-,s,-,-,-,m,-,-,-,-,-,y,y,o,-,-,-,-,S,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
uppe1395,-,-,-,-,s,-,-,-,m,-,-,-,-,-,e,-,E,-,-,t,-,S,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-
kash1274,-,-,-,-,s,-,-,-,m,-,-,-,-,-,y,-,E,-,-,t,-,s,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-
slov1268,-,-,-,-,s,-,-,-,m,-,-,-,-,-,E,y,o,-,-,t,-,i,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
lowe1384,-,-,-,-,s,-,-,-,m,-,-,-,-,-,e,y,o,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
croa1245,-,-,-,-,s,-,-,-,m,-,-,-,-,-,i,y,o,-,-,t,-,i,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
chur1257,-,-,-,-,s,-,-,-,m,-,-,-,-,-,i,y,a,-,-,t,-,i,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
czec1258,-,-,-,-,s,-,-,-,m,-,-,-,-,-,-,y,e,-,-,T,-,i,-,s,-,-,-,y,-,-,-,-,e,-,-,-,-
czec1258,-,-,-,-,s,-,-,-,m,-,-,-,-,-,-,-,a,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,E,-,-,-,-
slov1269,-,-,-,-,s,-,-,-,m,-,-,-,-,-,-,i,o,-,-,T,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-
poli1260,-,-,-,-,S,-,-,-,m,-,-,-,-,-,-,y,o,-,-,t,-,-,-,S,-,-,-,S,-,-,-,-,a,-,-,-,-
