language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
port1283,-,l,-,-,-,-,-,3,-,-,-,-,v,-,-,-,-,a,-,r,-,-
stan1288,-,y,-,-,-,-,-,e,-,-,-,-,b,-,-,-,-,a,-,r,-,-
stan1289,-,p,-,-,-,-,-,u,-,r,-,-,t,-,-,-,-,a,-,-,-,-
ital1282,-,p,-,r,E,n,d,e,-,-,-,-,r,-,-,-,-,e,-,-,-,-
neap1235,-,p,-,-,-,-,-,i,-,L,-,-,L,-,-,-,-,a,-,-,-,-
friu1240,-,T,-,-,-,-,-,o,-,-,-,-,l,-,-,-,-,i,-,-,-,-
roma1327,-,-,-,-,-,-,-,a,-,-,-,-,l,-,u,-,-,a,-,-,-,-
stan1290,-,p,-,X,-,-,-,o,-,n,-,-,d,-,X,-,-,3,-,-,-,-
wall1255,-,p,-,X,-,-,-,e,-,-,-,-,d,-,-,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,m,3,-,-
stan1295,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,e,m,n,-,-
luxe1241,-,h,-,u,-,-,-,3,-,-,-,-,l,-,-,-,-,3,-,n,-,-
swis1247,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,E,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,-,t,a,k,-,-,a,-,-,-,-
dani1285,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,E,-,-,-,-
lith1251,-,-,-,-,-,-,-,i,-,m,-,-,t,-,y,-,-,i,-,-,-,-
latv1249,-,p,o,5,-,-,-,E,-,m,-,-,t,-,-,-,-,-,-,-,-,-
czec1258,-,b,-,z,-,-,y,e,-,-,-,-,T,-,-,-,-,i,-,-,-,-
czec1258,-,v,-,z,-,-,-,i,-,-,-,-,t,-,-,-,-,-,-,-,-,-
slov1269,-,v,-,z,-,-,-,i,-,o,-,-,T,-,-,-,-,-,-,-,-,-
poli1260,-,v,-,Z,-,-,-,o,-,-,-,-,t,-,-,-,-,S,-,-,-,-
poli1260,-,v,-,Z,-,-,-,o,-,5,-,-,t,-,-,-,-,S,-,-,-,-
slov1268,-,w,-,z,-,-,-,e,-,-,-,-,t,-,-,-,-,i,-,-,-,-
ukra1253,-,w,-,z,-,-,y,o,-,-,-,-,t,-,-,-,-,i,-,-,-,-
rusy1239,-,w,-,z,-,-,-,o,-,-,-,-,t,-,-,-,-,3,-,-,-,-
bela1254,-,u,-,z,-,-,y,a,-,-,-,-,t,-,s,-,-,y,-,-,-,-
russ1263,-,v,-,z,-,-,y,a,-,-,-,-,t,-,s,-,-,y,-,-,-,-
lowe1385,-,-,-,z,-,-,-,E,-,-,-,-,-,-,-,-,-,S,-,-,-,-
uppe1395,-,-,-,z,-,-,-,o,-,-,-,-,t,-,-,-,-,S,-,-,-,-
kash1274,-,v,-,z,-,-,-,u,-,-,-,-,t,-,-,-,-,s,-,-,-,-
bulg1262,-,v,-,z,-,-,-,E,-,-,-,-,m,-,-,-,-,3,-,m,-,-
mace1250,-,b,-,y,-,-,-,e,-,z,-,-,m,-,-,-,-,a,-,-,-,-
mace1250,-,v,-,y,-,-,-,e,-,-,-,-,n,-,-,-,-,a,-,m,-,-
mace1250,-,-,-,z,-,-,-,e,-,-,-,-,m,-,-,-,-,E,-,-,-,-
gawa1247,-,-,-,g,-,-,-,3,-,-,-,-,-,-,-,-,-,i,-,k,-,-
kala1373,-,-,-,g,-,-,-,i,-,-,-,-,4,-,-,-,-,u,-,g,-,-
khow1242,-,-,-,g,-,-,-,o,-,-,-,-,4,-,-,-,-,i,-,k,-,-
nort2665,-,-,-,g,-,-,-,u,-,-,-,-,r,-,-,-,-,E,-,t,o,u
hind1269,-,-,-,l,-,-,-,e,-,-,-,-,n,-,-,-,-,o,-,-,-,-
urdu1245,-,-,-,l,-,-,-,e,-,-,-,-,n,-,-,-,-,o,-,-,-,-
bhoj1244,-,-,-,l,-,-,-,e,-,-,-,-,n,-,-,-,-,o,-,-,-,-
maga1260,-,-,-,l,-,-,-,e,-,-,-,-,n,-,-,-,-,o,-,-,-,-
mait1250,-,-,-,l,-,-,-,e,-,-,-,-,n,-,-,-,-,o,-,-,-,-
mara1378,-,-,-,g,-,-,-,e,-,-,-,-,n,-,-,-,-,e,-,-,-,-
beng1280,-,-,-,n,-,-,i,e,-,-,-,-,d,-,Z,a,o,a,-,-,-,-
assa1263,-,-,-,l,-,-,-,o,-,-,-,y,d,-,Z,-,u,o,-,-,-,-
kash1277,-,h,-,y,-,-,-,o,-,-,-,-,n,-,-,-,-,-,-,-,-,-
kamv1242,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
bakh1245,-,-,-,7,-,-,-,e,s,t,e,y,r,-,-,-,-,a,-,k,-,-
kumz1235,-,-,-,-,-,-,-,-,-,d,i,-,g,-,-,-,-,a,-,-,-,-
mode1248,-,p,-,-,-,-,-,e,-,-,-,-,r,-,n,-,-,o,-,-,-,-
cypr1249,-,p,-,T,-,-,-,a,-,-,-,-,-,-,n,-,-,o,-,-,-,-
pont1253,e,p,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,o,-,-,-,-
capp1239,-,p,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,o,-,-,-,-
apul1236,-,p,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,o,-,-,-,-
homs1234,-,-,-,-,-,-,-,o,-,r,-,-,n,-,-,-,-,E,-,l,-,-
nucl1235,-,-,-,-,-,-,-,o,-,r,-,-,n,-,-,-,-,E,-,l,-,-
iris1253,-,-,-,-,-,-,-,-,-,-,-,-,t,-,h,-,-,o,-,g,-,-
sinh1246,-,-,-,g,-,-,-,a,-,-,-,-,n,3,v,-,-,a,-,-,-,-
