language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
port1283,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
stan1288,-,-,-,-,-,-,p,o,-,-,-,l,b,-,-,o,-,-,-,-,-,-,-,-
stan1289,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,o,l,-,s,-,-,-,-,-
ital1282,-,-,-,-,-,-,p,o,-,-,-,l,v,e,r,e,-,-,-,-,-,-,-,-
neap1235,-,-,-,-,-,-,p,o,-,-,-,-,v,3,r,3,-,-,-,-,-,-,-,-
friu1240,-,-,-,-,-,-,p,o,-,-,-,l,v,a,r,-,-,-,-,-,-,-,-,-
roma1327,-,-,-,-,-,-,p,-,-,-,-,r,-,-,-,a,-,-,f,-,-,-,-,-
stan1290,-,-,-,-,-,-,p,u,-,-,-,s,y,E,X,-,-,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,-,p,u,-,-,-,s,-,i,X,-,-,-,-,-,-,-,-,-
dutc1256,-,-,-,-,-,-,s,-,-,-,-,t,-,-,-,o,-,-,f,-,-,-,-,-
west2354,-,-,-,-,-,-,s,-,-,-,-,t,-,-,-,o,-,-,f,-,-,-,-,-
stan1295,-,-,-,-,-,-,S,-,-,-,-,t,-,-,-,a,u,-,b,-,-,-,-,-
luxe1241,-,-,-,-,-,-,S,-,-,-,-,t,-,-,-,3,-,-,p,-,-,-,-,s
swis1247,-,-,-,-,-,-,S,-,-,-,-,t,-,-,-,o,u,-,b,-,-,-,-,-
icel1247,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,i,-,-,k,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,u,s,-,t,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,a,-,-,m,-,-,-,-,-
faro1244,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,u,s,-,t,-,-,-,-,-
dani1285,-,-,-,-,-,-,s,-,-,-,-,d,-,-,-,e,-,-,w,-,-,-,-,-
