language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
mode1248,-,-,-,k,-,a,-,-,l,o,-,-,-,-,s,-,-,-,-,-,-,-
cypr1249,-,-,-,k,-,a,-,-,l,o,-,-,-,-,s,-,-,-,-,-,-,-
pont1253,-,-,-,k,-,a,-,-,l,o,-,-,-,-,s,-,-,-,-,-,-,-
capp1239,-,-,-,k,-,a,-,-,l,o,-,-,-,-,-,-,-,-,-,-,-,-
apul1236,-,-,-,k,-,a,-,-,l,o,-,-,-,-,-,-,-,-,-,-,-,-
anci1242,-,-,a,g,-,a,-,t,h,o,-,-,-,-,s,-,-,-,-,-,-,-
koin1234,-,-,a,x,-,a,-,t,h,o,-,-,-,-,s,-,-,-,-,-,-,-
tokh1243,-,-,-,k,-,3,r,t,s,e,-,-,-,-,-,-,-,-,-,-,-,-
tokh1242,-,-,-,k,-,a,-,-,s,u,-,-,-,-,-,-,-,-,-,-,-,-
sout2614,-,-,-,b,-,-,-,-,-,o,-,-,-,-,n,-,-,-,u,-,-,-
barb1262,-,-,-,b,-,-,-,-,-,o,-,-,-,-,n,-,-,-,u,-,-,-
lati1261,-,-,-,b,-,-,-,-,-,o,-,-,-,-,n,-,-,-,u,s,-,-
port1283,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
stan1288,-,-,-,b,w,e,-,-,n,o,-,-,-,-,-,-,-,-,-,-,-,-
stan1289,-,-,-,b,-,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-,-,-
oldc1251,-,-,-,b,-,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-,-,-
ital1282,-,-,-,b,w,-,-,-,-,o,-,-,-,-,n,-,-,-,o,-,-,-
neap1235,-,-,-,b,w,-,-,-,-,o,-,-,-,-,n,-,-,-,3,-,-,-
friu1240,-,-,-,b,-,-,-,-,-,o,-,-,-,-,N,-,-,-,-,-,-,-
