language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
port1283,-,p,-,-,-,o,d,r,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
stan1288,-,p,-,-,-,o,8,r,-,-,i,-,-,-,-,8,-,-,o,-,-,-,-,-
stan1289,-,p,-,-,-,u,8,r,-,-,i,-,-,-,-,t,-,-,-,-,-,-,-,-
ital1282,-,m,-,-,-,a,-,r,t,-,S,-,-,-,-,-,-,-,o,-,-,-,-,-
neap1235,-,m,-,-,-,f,-,r,a,-,S,-,3,t,a,t,-,-,3,-,-,-,-,-
friu1240,-,f,-,-,-,-,-,r,a,-,y,-,-,-,-,t,-,-,-,-,-,-,-,-
roma1327,-,p,-,-,-,u,t,r,-,-,e,-,-,-,-,d,-,-,-,-,-,-,-,-
stan1290,-,p,-,-,-,u,-,X,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,p,-,-,-,u,-,X,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,r,-,-,o,-,-,-,-,t,-,-,-,-,-,-,-,-
stan1295,-,f,a,-,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
luxe1241,-,f,o,-,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swis1247,g,f,-,-,-,u,-,l,-,-,3,-,-,-,-,t,-,-,-,-,-,-,-,-
icel1247,-,m,-,-,-,o,-,r,-,-,-,-,-,-,-,k,-,h,i,-,-,-,n,-
swed1254,-,m,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,r,-,-,3,-,-,-,-,t,-,-,3,-,-,-,n,-
faro1244,-,m,-,-,-,o,-,r,-,-,-,-,-,-,-,t,-,S,i,-,-,-,n,-
dani1285,-,X,-,-,-,o,-,8,-,-,-,-,-,-,-,-,-,-,3,-,-,-,n,-
lith1251,-,s,u,-,p,u,-,v,y,-,E,-,-,-,-,s,-,-,-,-,-,-,-,-
latv1249,-,s,o,-,p,u,-,v,-,-,i,-,-,-,-,s,-,-,-,-,-,-,-,-
czec1258,-,s,-,-,-,-,-,x,5,-,i,-,-,-,-,l,-,-,3,-,-,-,-,-
czec1258,-,s,-,-,-,-,-,x,5,-,i,-,-,-,-,l,-,-,i,-,-,-,-,-
