language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
port1283,-,-,-,-,-,-,n,-,-,-,-,-,a,-,8,-,-,-,-,-,-,a,-,-,-,r,-,-,-
stan1288,-,-,-,-,-,-,n,-,-,-,-,-,a,-,8,-,-,-,-,-,-,a,-,-,-,r,-,-,-
stan1289,-,-,-,-,-,-,n,-,-,-,-,-,3,-,8,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ital1282,-,-,-,-,-,-,n,-,-,-,-,w,o,-,t,-,-,-,-,-,-,a,-,-,-,r,-,-,e
neap1235,-,-,-,-,-,-,n,-,-,-,-,-,a,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
friu1240,-,-,-,-,-,-,n,-,-,-,-,-,a,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-
roma1327,-,a,3,-,-,-,n,-,-,-,-,-,o,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,-,n,-,-,-,-,-,a,-,Z,-,-,-,-,-,-,e,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,-,n,-,-,-,-,-,o,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-
dutc1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,w,E,m,-,3,-,-,-,n,-,-,-
west2354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,v,i,m,-,3,-,-,-,-,-,-,-
stan1295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,v,i,m,-,-,-,-,-,n,-,-,-
luxe1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,w,o,m,-,3,-,-,-,n,-,-,-
swis1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,v,i,m,-,3,-,-,-,-,-,-,-
icel1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,i,n,d,a,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,i,m,-,a,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,i,m,-,a,-,-,-,-,-,-,-
faro1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,v,i,m,y,a,-,-,-,-,-,-,-
dani1285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,v,E,m,-,3,-,-,-,-,-,-,-
lith1251,-,-,p,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,u,k,y,t,-,y,i
latv1249,-,-,p,-,-,e,l,-,-,-,-,-,-,-,d,-,-,-,-,-,-,E,-,-,-,t,-,-,-
czec1258,-,-,p,-,-,-,l,-,-,-,-,-,u,-,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-
czec1258,-,-,p,-,-,-,l,-,-,-,-,-,o,-,v,-,-,-,-,-,-,o,-,-,-,t,-,-,-
slov1269,-,-,p,-,-,-,l,-,-,-,-,-,o,-,v,-,-,-,-,-,-,o,-,-,-,T,-,-,-
poli1260,-,-,p,-,-,-,l,-,-,-,-,-,3,-,v,-,-,-,-,-,-,a,-,-,-,t,-,-,S
poli1260,-,-,p,-,-,-,w,-,-,-,-,-,3,-,v,-,-,-,-,-,-,a,-,-,-,t,-,-,S
slov1268,-,-,p,-,-,-,l,-,-,-,-,-,o,-,v,-,-,-,-,-,-,o,-,-,-,t,-,-,i
ukra1253,-,-,p,-,-,-,l,-,-,-,-,-,o,-,b,-,-,-,-,-,-,a,-,-,-,t,-,-,i
rusy1239,-,-,p,-,-,-,l,-,-,-,-,-,o,-,v,-,-,-,-,-,-,o,-,-,-,t,-,-,3
bela1254,-,-,p,-,-,-,l,-,-,-,-,-,o,-,v,-,-,-,-,-,-,o,-,-,-,t,-,s,y
russ1263,-,-,p,-,-,-,l,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,y
lowe1385,-,-,p,-,-,-,l,-,-,-,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,S
uppe1395,-,-,p,-,-,-,h,-,-,-,-,-,u,-,w,-,-,-,-,-,-,o,-,-,-,t,-,-,S
kash1274,-,-,p,-,-,-,w,-,-,-,-,-,3,-,v,-,-,-,-,-,-,o,-,-,-,t,-,-,s
bulg1262,-,-,p,-,-,-,l,-,-,-,-,-,u,-,v,-,-,-,-,-,-,3,-,-,-,m,-,-,-
mace1250,-,-,p,-,-,-,l,-,-,-,-,-,o,-,b,-,-,-,y,-,-,a,-,-,-,-,-,-,-
mace1250,-,-,p,-,-,-,l,-,-,-,-,-,a,-,v,-,-,-,y,-,-,e,-,-,-,m,-,-,-
mace1250,-,-,p,-,-,-,l,-,-,-,-,-,i,-,v,-,-,-,-,-,-,o,-,-,-,-,-,-,-
gawa1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,a,r,-,i,-,-,-,k,-,-,-
kala1373,-,-,-,-,-,-,-,-,-,-,s,-,o,-,n,e,-,t,3,d,-,a,-,-,-,g,-,-,-
khow1242,-,-,-,-,-,-,-,-,u,-,s,-,-,-,-,-,-,4,-,-,-,E,-,-,-,k,-,-,-
nort2665,-,-,v,-,-,a,r,g,o,t,S,h,a,-,n,-,-,t,-,-,-,u,-,-,-,-,-,-,-
hind1269,-,-,t,-,-,E,r,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-
urdu1245,-,-,t,-,-,E,r,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-
bhoj1244,-,-,p,-,-,E,r,-,-,-,-,-,3,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-
maga1260,-,-,p,-,-,E,r,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-
mait1250,-,-,h,-,-,3,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,b,-,-,-
mara1378,-,-,p,-,-,o,h,-,-,-,-,-,-,-,n,-,-,-,-,-,-,e,-,-,-,-,-,-,-
beng1280,-,-,S,a,t,a,r,k,-,-,-,-,a,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-
assa1263,-,-,x,o,t,u,r,-,-,-,-,-,i,-,t,-,-,h,o,k,-,o,-,-,-,-,-,-,-
kash1277,t,s,h,-,-,-,r,-,-,-,-,-,o,-,t,h,-,v,o,y,-,e,-,-,-,-,-,-,-
kamv1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,S,k,-,-,u
bakh1245,-,-,m,-,-,a,l,-,-,-,-,-,e,-,T,e,r,d,-,-,-,a,-,-,-,k,-,-,-
kumz1235,-,-,S,-,-,-,n,-,-,-,-,-,a,-,w,-,-,t,-,k,-,a,-,-,-,-,-,-,-
mode1248,-,-,k,-,-,o,l,-,-,-,-,-,i,m,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-
cypr1249,-,-,k,-,-,o,l,-,-,-,-,-,i,m,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-
pont1253,-,-,k,-,-,o,l,-,-,-,-,-,i,m,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-
capp1239,-,-,p,-,-,-,l,-,-,-,-,-,e,-,f,-,-,-,-,-,-,o,-,-,-,-,-,-,-
apul1236,-,-,k,-,-,u,l,-,-,-,-,-,u,m,b,-,-,-,-,-,-,o,-,-,-,n,o,m,e
homs1234,-,-,-,-,-,-,l,-,-,-,-,-,o,-,X,-,-,-,-,-,-,o,-,-,-,l,-,-,-
nucl1235,-,-,-,-,-,-,l,-,-,-,-,-,o,-,X,-,-,-,-,-,-,o,-,-,-,l,-,-,-
iris1253,-,-,s,-,-,-,n,-,-,-,-,-,o,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-
