language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
goth1244,-,-,s,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-
swed1254,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,E,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,s,-,-
swed1254,-,-,s,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,y,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
oldn1244,-,-,s,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,y,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
icel1247,-,-,k,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,s,t,-,-,-,-,-,-,-,-,-,-,a,-,i,-,p,-,-
faro1244,-,-,s,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,i,d,Z,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
norw1259,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,s,t,-,-,-,-,-,-,-,-,-,-,3,-,u,-,p,-,-
norw1262,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,s,t,-,-,-,-,-,-,-,-,-,-,3,-,o,-,p,-,-
dani1285,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,s,d,-,-,-,-,-,-,-,-,-,-,3,-,o,-,b,-,-
elfd1234,-,-,s,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,y,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
lowe1385,-,-,-,-,b,-,-,-,l,y,-,-,u,w,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-
uppe1395,-,-,-,-,b,-,-,-,l,-,-,-,u,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-
kash1274,-,-,-,-,Z,-,-,-,-,-,-,-,o,g,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-
slov1268,-,-,-,-,b,-,-,-,l,y,-,-,u,v,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
croa1245,-,-,-,-,p,-,-,-,-,-,-,-,o,v,r,o,t,S,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
chur1257,-,-,-,-,b,-,-,-,L,-,-,-,i,v,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
czec1258,-,-,-,-,b,-,-,-,l,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,i,-,-,-,-,-,-
