language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
mode1248,-,-,-,-,f,-,-,-,-,-,-,-,o,-,v,-,a,-,m,-,-,-,-,-,-,-,-,-,e,-,-,-,-
cypr1249,-,-,-,-,f,-,-,-,-,-,-,-,o,-,-,-,u,-,m,-,-,-,-,-,-,-,-,-,E,-,-,-,-
pont1253,-,-,-,-,f,-,-,-,-,-,-,-,o,-,v,-,u,-,m,-,-,-,-,-,-,-,-,-,3,-,-,-,-
capp1239,-,-,-,-,f,-,-,-,-,-,-,-,o,-,v,-,u,-,m,-,-,-,-,-,-,-,-,-,e,-,-,-,-
apul1236,-,-,-,-,S,-,-,-,-,-,-,-,a,d,z,-,o,-,m,-,-,-,-,-,-,-,-,-,e,-,-,-,-
anci1242,-,-,-,-,p,-,-,-,-,h,-,-,o,-,b,-,u,-,m,-,-,a,-,-,-,-,-,-,i,-,-,-,-
koin1234,-,-,-,-,p,-,-,-,-,h,-,-,o,-,b,-,u,-,m,-,-,-,-,-,-,-,-,-,e,-,-,-,-
tokh1243,-,-,-,-,p,-,-,-,-,r,-,-,a,-,s,k,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
tokh1242,-,-,-,-,p,-,-,-,-,r,-,-,3,-,s,k,3,-,t,-,-,-,-,-,-,-,-,-,3,-,-,r,-
sout2614,-,-,-,-,t,-,i,-,-,-,-,-,-,-,m,-,E,-,r,-,-,-,-,-,-,-,-,-,E,-,-,-,-
barb1262,-,-,-,-,t,-,i,-,-,-,m,-,-,-,m,-,E,-,r,-,-,-,-,-,-,-,-,-,E,-,-,-,-
lati1261,-,-,-,-,t,-,i,-,-,-,-,-,-,-,m,-,e,-,r,-,-,-,-,-,-,-,-,-,e,-,-,-,-
port1283,-,-,-,-,t,-,e,-,-,r,m,-,e,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
stan1288,-,-,-,-,t,-,e,n,E,r,m,y,e,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
