language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
chur1257,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,u,-,-
czec1258,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,3,-,-
czec1258,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,i,-,-
slov1269,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,T,-,-,-,E,-,n,i,-,-
poli1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,i,m,n,3,-,-
poli1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,i,m,n,3,-,-
ukra1253,-,-,-,-,-,x,-,-,o,-,-,-,l,-,-,o,-,-,d,-,-,-,-,-,n,i,y,-
rusy1239,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,o,y,-
bela1254,-,-,-,-,-,x,-,-,o,-,-,-,l,-,-,o,-,-,d,-,-,-,-,-,n,3,-,-
russ1263,-,-,-,-,-,x,-,-,a,-,-,-,l,-,-,o,-,-,d,-,-,-,-,-,n,3,y,-
bulg1262,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,-,-,-
mace1250,-,-,-,-,-,x,-,-,-,-,-,-,l,-,-,o,-,-,d,-,-,-,-,-,n,a,-,-
mace1250,-,-,-,-,-,x,-,-,-,-,-,-,l,-,-,o,-,-,d,-,-,-,-,-,n,a,-,-
mace1250,-,-,-,-,-,s,-,-,-,-,-,-,t,-,-,u,-,-,d,-,-,-,E,-,n,-,-,-
pola1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,a,i,m,E,-,n,3,-,-
latv1249,-,-,-,-,-,-,-,-,o,u,k,s,t,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-
east2282,-,-,-,-,-,s,-,-,o,-,-,l,t,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-
lith1251,-,-,-,-,-,S,-,-,o,-,-,l,t,-,-,a,-,-,s,-,-,-,-,-,-,-,-,-
oldw1241,-,-,-,-,-,-,-,-,o,i,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2668,-,-,-,-,-,-,-,-,o,3,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
midd1359,-,-,-,-,-,y,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
treg1244,-,-,-,-,-,y,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
vann1244,-,-,-,-,-,y,-,-,E,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
iris1253,-,-,-,-,-,f,w,-,u,3,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
oldi1245,-,-,-,-,-,-,-,-,u,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
manx1243,-,-,-,-,-,f,-,-,u,3,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2369,-,-,-,-,-,s,-,-,E,-,-,-,r,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
bakh1245,-,-,-,-,-,s,-,-,a,-,-,-,r,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
