language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
port1283,-,-,-,-,-,-,-,-,r,-,-,3,-,-,S,-,p,-,i,-,-,r,-,-,-,-,-,-,-,a,-,-,r,-,-
stan1288,-,-,-,-,-,-,-,-,r,-,-,e,-,-,s,-,p,-,i,-,-,r,-,-,-,-,-,-,-,a,-,-,r,-,-
stan1289,-,-,-,-,-,-,-,-,r,-,-,3,-,-,s,-,p,-,i,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-
ital1282,-,-,-,-,-,-,-,-,r,-,-,e,-,-,s,-,p,-,i,r,a,r,-,-,-,-,-,-,-,e,-,-,-,-,-
neap1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,a,t,-,-,-,-,-,-,-,a,-,-,-,-,-
friu1240,-,-,-,-,-,-,-,-,r,-,-,e,-,-,s,-,p,-,i,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-
roma1327,-,-,-,-,-,-,-,-,r,-,-,3,-,-,s,u,f,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
roma1327,-,-,-,-,-,-,-,-,r,-,-,e,-,-,s,-,p,-,i,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-
stan1290,-,-,-,-,-,-,-,-,X,-,-,E,-,-,s,-,p,-,i,-,-,X,-,-,-,-,-,-,-,e,-,-,-,-,-
wall1255,-,-,-,-,-,-,-,-,X,-,-,E,-,-,s,-,p,-,i,-,-,X,-,-,-,-,-,-,-,e,-,-,-,-,-
dutc1256,-,-,-,a,-,-,-,-,d,-,-,3,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,n,-,-
west2354,-,-,-,-,-,-,-,-,s,-,-,i,-,-,k,-,h,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,l,y,3
stan1295,-,-,-,-,-,-,-,-,7,-,-,a,-,-,t,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-
luxe1241,-,-,-,-,-,-,-,-,-,-,-,o,-,-,t,-,m,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,n,-,-
swis1247,-,-,-,-,-,-,-,-,S,-,n,u,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
icel1247,-,-,-,a,n,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,-,a,n,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,-,a,n,-,-,-,d,-,-,a,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
faro1244,-,-,-,a,n,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dani1285,-,-,-,o,n,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lith1251,k,y,v,-,-,-,-,-,y,-,-,e,-,-,p,-,-,-,u,-,-,-,-,-,-,-,-,-,-,o,-,-,t,y,i
latv1249,-,-,-,-,-,-,-,-,-,-,-,E,-,l,p,-,-,-,u,-,-,-,-,-,-,-,-,-,-,o,-,-,t,-,-
czec1258,-,-,-,-,-,-,-,-,d,-,-,3,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,T,-,i
czec1258,-,-,-,-,-,-,-,-,d,-,-,i,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,t,-,-
slov1269,-,-,-,-,-,-,-,-,d,-,-,i,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,T,-,-
poli1260,-,-,-,-,-,-,-,-,d,-,-,3,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,-,S
