language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
port1283,-,-,-,-,-,-,-,-,p,r,e,t,-,u,-,-,-
stan1288,-,-,-,-,n,-,-,e,x,r,-,-,-,o,-,-,-
stan1289,-,-,-,-,n,-,-,E,x,r,-,-,-,3,-,-,-
ital1282,-,-,-,-,n,-,-,e,-,r,-,-,-,o,-,-,-
neap1235,-,-,-,-,n,-,-,i,-,r,-,-,-,3,-,-,-
friu1240,-,-,-,-,n,-,-,e,-,r,-,-,-,i,-,-,-
roma1327,-,-,-,-,n,-,-,e,g,r,-,-,-,u,-,-,-
stan1290,-,-,-,-,n,w,-,a,-,X,-,-,-,-,-,-,-
wall1255,-,-,-,-,n,-,-,e,-,X,-,-,-,-,-,-,-
dutc1256,-,-,-,-,z,w,-,o,-,r,-,t,-,-,-,-,-
west2354,-,-,-,-,s,w,-,a,-,-,-,t,-,-,-,-,-
stan1295,-,-,-,-,S,v,a,a,-,-,-,t,-,-,s,-,-
luxe1241,-,-,-,-,S,w,-,a,-,X,-,t,-,-,s,-,-
swis1247,-,-,-,-,S,v,-,a,-,r,-,t,-,-,s,-,-
icel1247,-,-,-,-,s,v,-,a,-,r,-,t,h,i,r,-,-
swed1254,-,-,-,-,s,v,-,a,-,r,-,t,-,e,r,-,-
swed1254,-,-,-,-,s,v,-,a,-,-,-,t,-,-,-,-,-
faro1244,-,-,-,-,s,v,-,a,-,r,-,t,-,u,r,-,-
dani1285,-,-,-,-,s,o,-,a,-,-,-,-,-,-,d,-,-
lith1251,-,-,-,-,y,u,-,o,-,d,-,a,-,s,-,-,-
latv1249,-,-,-,-,m,-,-,E,-,l,-,n,-,s,-,-,-
czec1258,t,-,-,-,S,-,-,E,-,r,-,n,-,3,-,-,-
czec1258,t,-,-,-,S,-,-,E,-,r,-,n,-,i,-,-,-
slov1269,t,-,-,-,S,i,-,E,-,r,-,n,-,i,-,-,-
poli1260,t,-,-,-,S,-,-,o,-,r,-,n,-,3,-,-,-
poli1260,t,-,-,-,S,-,-,o,-,r,-,n,-,3,-,-,-
slov1268,t,-,-,-,S,-,-,3,-,r,-,n,-,-,-,-,-
ukra1253,t,-,-,-,S,-,-,o,-,r,-,n,-,i,y,-,-
rusy1239,t,-,-,-,S,u,-,o,-,r,-,n,-,o,y,-,-
bela1254,t,-,-,-,S,-,-,o,-,r,-,n,-,3,-,-,-
russ1263,t,-,-,-,S,-,-,o,-,r,-,n,-,3,y,-,-
lowe1385,t,-,-,-,s,-,-,o,-,r,-,n,-,3,-,-,-
uppe1395,t,-,-,-,S,-,-,o,-,a,-,n,-,3,-,-,-
kash1274,t,-,-,-,S,-,-,E,-,r,-,n,-,3,-,-,-
bulg1262,t,-,-,-,S,-,-,E,-,r,3,n,-,-,-,-,-
mace1250,t,-,-,-,S,-,-,o,-,r,-,n,-,a,-,-,-
mace1250,t,-,-,-,S,-,-,e,-,r,-,n,-,a,-,-,-
mace1250,t,-,-,-,s,-,-,3,-,r,-,n,-,-,-,-,-
gawa1247,k,h,a,4,t,-,-,-,-,-,-,s,-,3,-,-,-
kala1373,-,-,-,-,k,-,-,-,-,y,i,S,-,3,4,-,-
khow1242,-,-,-,-,-,-,-,-,-,-,-,S,-,o,-,-,-
nort2665,-,-,-,-,-,-,-,-,-,-,-,S,-,o,m,o,k
hind1269,-,-,-,-,k,-,-,o,-,l,-,-,-,o,-,-,-
urdu1245,-,-,-,-,k,-,-,o,-,l,-,-,-,o,-,-,-
bhoj1244,-,-,-,-,k,-,-,3,-,r,i,y,-,o,-,-,-
maga1260,-,-,-,-,k,-,-,3,-,r,i,-,-,o,-,-,-
mait1250,-,-,-,-,k,-,-,o,-,r,-,-,-,i,-,-,-
mara1378,-,-,-,-,k,-,-,a,-,L,-,-,-,a,-,-,-
beng1280,-,-,-,-,k,-,-,a,-,l,-,-,-,o,-,-,-
assa1263,-,-,-,-,k,-,-,o,-,l,-,-,-,o,-,-,-
kash1277,-,-,-,-,k,-,-,-,-,r,e,h,-,o,n,-,-
kamv1242,-,-,-,-,-,-,-,-,-,Z,-,-,-,i,-,-,-
west2369,-,-,-,-,s,-,-,i,-,y,-,-,-,o,h,-,-
bakh1245,-,-,-,-,s,-,-,i,-,y,-,-,-,o,-,-,-
kumz1235,-,-,-,-,s,-,-,i,-,y,-,-,-,a,-,-,-
yagn1238,-,-,-,-,s,-,-,i,-,y,-,-,-,o,h,-,-
mode1248,-,-,-,-,m,-,-,a,v,r,-,-,-,o,s,-,-
cypr1249,-,-,-,-,m,-,-,a,v,r,-,-,-,o,s,-,-
pont1253,-,-,-,-,m,-,-,a,v,r,-,-,-,o,s,-,-
capp1239,-,-,-,-,m,-,-,a,v,r,-,-,-,o,-,-,-
apul1236,-,-,-,-,m,-,-,a,v,r,-,-,-,o,-,-,-
homs1234,-,-,-,-,s,-,-,E,-,v,-,-,-,-,-,-,-
nucl1235,-,-,-,-,s,-,-,E,-,v,-,-,-,-,-,-,-
iris1253,-,-,-,-,d,-,-,-,-,-,-,-,-,u,v,-,-
