language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
port1283,-,-,-,3,-,-,-,S,-,-,t,r,a,i,-,-,t,-,u,-
stan1288,-,-,-,e,-,-,-,s,-,-,t,r,-,e,-,-,t,S,o,-
stan1289,-,-,-,3,-,-,-,s,-,-,t,r,-,E,-,-,t,-,-,-
ital1282,-,-,-,-,-,-,-,s,-,-,t,r,-,e,-,-,t,-,o,-
neap1235,-,-,-,-,-,-,-,s,-,-,t,r,-,i,-,-,t,-,3,-
friu1240,-,-,-,-,-,-,-,s,-,-,t,r,-,E,-,-,t,-,-,-
roma1327,-,-,-,-,-,-,-,s,-,-,t,r,-,3,m,-,t,-,-,-
roma1327,-,-,-,3,N,g,u,s,-,-,t,-,-,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,-,-,e,-,-,t,X,w,a,-,-,-,-,-,-
wall1255,-,-,-,-,-,-,-,s,-,-,t,X,-,e,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,s,-,-,m,-,-,E,-,-,l,-,-,-
stan1295,-,-,-,-,-,-,-,7,-,-,-,-,-,E,-,-,N,-,-,-
luxe1241,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,N,-,k,-
swis1247,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,N,-,-,-
icel1247,-,-,-,-,m,-,-,y,-,-,-,-,-,o,u,-,r,-,-,-
swed1254,-,-,-,-,-,-,-,s,-,-,m,-,-,o,-,-,l,-,-,-
swed1254,-,-,-,-,-,-,-,8,r,a,N,g,-,e,-,-,r,-,-,-
faro1244,-,-,-,-,t,-,-,h,r,o,N,g,-,u,-,-,r,-,-,-
dani1285,-,-,-,-,-,-,-,s,-,-,m,-,-,a,-,-,l,-,-,-
lith1251,s,y,E,u,-,r,a,s,-,-,-,-,-,-,-,-,-,-,-,-
latv1249,S,-,o,u,-,r,-,s,-,-,-,-,-,-,-,-,-,-,-,-
czec1258,-,-,-,u,-,-,-,z,-,-,k,-,-,3,-,-,-,-,-,-
czec1258,7,-,-,u,-,-,-,s,-,-,k,-,-,i,-,-,-,-,-,-
slov1269,-,-,-,u,-,-,-,s,-,-,k,-,-,i,-,-,-,-,-,-
poli1260,v,-,-,o,-,-,-,z,-,-,k,-,-,3,-,-,-,-,-,-
poli1260,v,-,-,o,-,-,w,s,-,-,k,y,-,i,-,-,-,-,-,-
slov1268,-,-,-,o,-,-,-,z,-,3,k,-,-,-,-,-,-,-,-,-
ukra1253,b,-,-,u,-,-,-,z,-,y,k,-,-,i,-,-,y,-,-,-
rusy1239,-,-,-,u,-,-,-,s,-,-,k,-,-,o,-,-,y,-,-,-
bela1254,v,-,-,u,-,-,-,s,-,-,k,y,-,i,-,-,-,-,-,-
russ1263,-,-,-,u,-,-,-,s,-,-,k,y,-,i,-,-,y,-,-,-
lowe1385,-,-,-,u,-,-,-,s,-,-,k,y,-,i,-,-,-,-,-,-
uppe1395,w,-,-,u,-,-,-,s,-,-,k,y,-,i,-,-,-,-,-,-
kash1274,v,-,-,u,-,-,-,S,-,-,t,S,-,i,-,-,-,-,-,-
bulg1262,t,-,-,E,-,-,-,s,-,-,-,-,-,3,-,-,n,-,-,-
mace1250,t,-,-,e,-,-,-,s,-,-,-,-,-,E,-,-,n,-,-,-
gawa1247,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i,r,-,i,-
kala1373,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,-,N,-,-,-
khow1242,-,-,-,-,-,-,-,t,-,-,-,r,-,o,-,-,N,-,k,-
nort2665,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,N,-,g,-
hind1269,-,-,-,-,-,-,-,t,-,-,-,-,-,3,-,-,g,-,-,-
urdu1245,-,-,-,-,-,-,-,t,-,-,-,-,-,3,N,-,g,-,-,-
bhoj1244,p,-,-,3,-,-,-,t,-,-,-,l,-,o,-,-,-,-,-,-
maga1260,p,-,-,o,-,-,-,t,-,-,-,-,-,3,-,-,r,-,-,-
mait1250,-,-,-,-,-,-,-,s,-,-,-,-,-,3,k,i,r,-,-,-
mara1378,-,-,-,3,-,-,-,r,-,-,-,-,-,u,n,-,d,-,-,-
beng1280,-,-,-,-,-,-,-,S,-,-,-,-,-,o,-,-,r,-,u,-
assa1263,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,-,k,-,o,-
kash1277,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,-,N,-,-,-
kamv1242,-,-,-,a,-,-,-,r,-,-,-,-,-,3,-,-,r,-,-,-
west2369,-,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,r,-,i,k
bakh1245,-,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,r,-,i,k
kumz1235,q,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,b
mode1248,-,-,-,-,-,-,-,s,-,-,t,-,-,e,-,-,n,-,o,s
cypr1249,-,-,-,-,-,-,-,s,-,-,t,-,-,E,-,-,n,-,o,s
pont1253,-,-,-,-,-,-,-,s,-,-,t,-,-,e,-,-,n,-,o,s
capp1239,-,-,-,-,-,-,-,s,-,-,t,-,-,e,-,-,n,-,o,-
apul1236,-,-,-,-,-,-,-,s,-,-,t,-,-,e,-,-,n,-,o,-
homs1234,-,-,-,-,-,-,-,-,-,-,n,-,-,E,-,-,X,-,-,-
nucl1235,-,-,-,-,-,-,-,-,-,-,n,-,-,E,-,-,X,-,-,-
iris1253,-,-,-,-,-,-,-,w,-,-,-,-,-,u,-,-,N,-,-,-
