language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
oldi1245,-,-,-,-,-,b,-,-,-,-,a,-,-,n,-,-,-,-
manx1243,-,-,-,-,-,b,-,-,-,-,E,-,-,n,-,-,-,-
west2369,-,-,-,s,e,f,-,-,-,-,i,-,-,d,-,-,-,-
bakh1245,7,e,-,s,-,b,-,-,-,-,i,-,-,r,-,-,-,-
cent2264,7,e,-,s,-,b,-,-,-,-,i,-,-,d,-,-,-,-
pahl1241,-,i,-,s,-,p,-,-,-,-,e,-,-,8,-,-,-,-
part1239,-,i,-,s,-,p,-,-,-,-,e,-,-,d,-,-,-,-
kumz1235,-,-,-,s,-,p,-,-,-,-,e,-,-,r,-,-,-,-
khot1251,-,-,-,S,-,y,-,-,-,-,i,-,-,8,-,3,-,-
yusu1238,-,-,-,s,-,p,-,-,-,-,i,-,-,n,-,-,-,-
iron1242,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,S,-,-
digo1242,-,-,-,-,-,w,-,-,-,-,o,-,-,r,-,s,-,-
ashr1238,p,a,-,n,-,-,-,-,-,-,a,-,-,r,-,u,-,-
kala1373,p,3,-,4,-,-,-,-,-,-,3,-,-,r,-,-,-,-
gawa1247,-,u,-,z,-,-,-,-,-,-,E,-,-,l,-,3,-,-
khow1242,-,i,-,S,-,p,-,-,-,-,E,-,-,r,-,u,-,-
nort2665,-,t,-,S,-,h,-,-,-,-,3,-,-,l,-,o,k,-
hind1269,-,-,-,s,3,f,-,-,-,-,e,-,-,d,-,-,-,-
urdu1245,-,-,-,s,3,f,-,-,-,-,e,-,-,d,-,-,-,-
bhoj1244,-,-,-,s,3,f,-,-,-,-,e,-,-,d,-,-,-,-
maga1260,-,u,-,T,-,-,-,-,-,-,3,-,-,r,-,-,-,-
mait1250,-,u,d,Z,d,Z,-,-,-,-,3,-,-,r,-,-,-,-
east1436,-,-,-,s,-,-,-,-,-,-,e,-,-,t,-,o,-,-
mara1378,-,-,-,-,-,p,-,-,-,-,a,n,d,r,-,a,-,-
beng1280,-,-,-,S,-,-,-,-,-,-,a,-,-,d,-,a,-,-
assa1263,-,-,-,b,-,-,-,-,-,-,o,-,-,g,-,o,-,-
vedi1234,-,-,-,S,-,v,-,-,-,-,a,y,-,t,-,a,-,-
pali1273,-,-,-,s,-,-,-,-,-,-,u,-,-,k,-,a,-,-
kash1277,-,-,t,S,-,h,-,-,-,-,u,-,-,t,-,-,-,-
kamv1242,k,a,-,Z,-,-,-,-,-,-,i,-,-,r,-,3,-,-
east2308,k,a,-,S,-,-,-,-,-,-,i,-,-,r,-,-,-,-
west2372,k,a,-,S,-,-,-,-,-,-,E,-,-,r,-,3,-,-
chim1297,k,a,-,S,-,-,-,-,-,-,i,-,-,r,-,a,-,-
lowe1390,k,3,-,S,-,-,-,-,-,-,i,-,-,r,-,-,-,-
homs1234,-,3,-,s,-,b,-,-,-,-,i,-,-,d,-,o,g,-
nucl1235,-,t,-,S,-,-,-,-,-,-,E,-,-,r,m,o,k,-
clas1249,-,3,-,s,-,p,-,-,-,-,i,-,-,t,-,o,k,-
sinh1246,-,-,-,s,-,-,-,-,-,-,u,-,-,d,-,u,-,-
