language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
mace1250,-,p,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,y,-,-,a,-,-
mace1250,-,p,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,v,-,y,a,m,-
mace1250,-,p,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,v,-,-,i,-,-
oldr1238,-,-,-,-,-,-,-,-,d,-,y,-,-,e,-,y,-,E,t,-,y,i,-,-
oldr1238,-,-,-,-,-,-,-,-,t,s,y,-,-,i,n,y,-,i,t,-,y,i,-,-
pola1255,-,T,-,-,-,a,-,u,t,-,-,-,-,a,-,-,-,-,-,-,-,i,t,-
latv1249,-,d,-,-,-,o,-,-,r,-,-,-,-,-,-,-,-,i,t,-,-,-,-,-
east2282,-,d,-,-,-,a,-,-,r,-,-,-,-,E,-,-,-,i,t,-,y,-,-,-
lith1251,-,d,-,-,-,a,-,-,r,-,-,-,-,-,-,-,-,i,t,-,y,i,-,-
oldw1241,-,g,-,-,-,u,-,-,r,-,-,-,-,a,-,-,-,-,X,-,-,-,-,-
nort2668,-,g,-,n,-,3,-,-,-,-,-,-,-,3,-,-,-,-,d,-,-,-,-,-
midd1359,-,-,-,-,-,o,-,-,b,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-
treg1244,-,-,-,-,-,o,-,-,b,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-
vann1244,-,g,-,-,-,o,-,-,b,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-
iris1253,-,d,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-,n,-,-,-,-,-
oldi1245,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,g,-,y,n,-,y,i,-,-
manx1243,-,d,-,-,-,-,-,-,Z,-,-,-,-,e,-,-,-,-,n,-,-,u,-,-
bakh1245,-,T,-,-,-,e,-,-,r,-,-,-,d,a,-,-,-,-,k,-,-,-,-,-
cent2264,-,k,-,-,-,a,-,-,r,-,-,-,-,a,-,-,-,-,k,a,r,e,-,-
pahl1241,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-
part1239,-,k,-,-,-,a,-,-,r,-,-,-,-,e,-,-,-,-,d,-,-,-,-,-
kumz1235,t,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
khot1251,-,y,-,-,-,i,n,-,d,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
yusu1238,-,k,a,w,-,3,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
iron1242,-,k,-,h,-,3,-,-,n,-,-,-,-,3,-,-,-,-,n,-,-,-,-,-
digo1242,-,k,-,h,-,3,-,-,n,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-
ashr1238,-,t,-,-,-,-,-,-,h,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kala1373,-,k,-,-,-,E,-,-,r,-,-,-,-,u,-,-,-,-,g,-,-,-,-,-
gawa1247,-,k,-,-,-,e,-,-,r,-,-,-,-,i,-,-,-,-,k,-,-,-,-,-
khow1242,-,k,-,-,-,o,-,-,r,-,-,-,-,i,-,-,-,-,k,-,-,-,-,-
nort2665,-,k,-,-,-,a,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
hind1269,-,k,-,-,-,3,-,-,r,-,-,-,n,o,-,-,-,-,-,-,-,-,-,-
urdu1245,-,k,-,-,-,3,-,-,r,-,-,-,n,o,-,-,-,-,-,-,-,-,-,-
bhoj1244,-,k,-,-,-,3,-,-,r,-,-,-,n,o,-,-,-,-,-,-,-,-,-,-
maga1260,-,k,-,-,-,3,-,-,r,-,-,-,n,o,-,-,-,-,-,-,-,-,-,-
mait1250,-,k,-,-,-,3,-,-,r,-,3,-,n,o,-,-,-,-,-,-,-,-,-,-
east1436,-,g,-,-,-,o,-,-,r,-,-,-,n,u,-,-,-,-,-,-,-,-,-,-
mara1378,-,k,-,-,-,3,-,-,r,-,-,-,n,e,-,-,-,-,-,-,-,-,-,-
beng1280,-,k,-,-,-,o,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
assa1263,-,k,-,-,-,o,-,-,r,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
