language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
port1283,-,-,3,S,-,-,-,-,k,-,-,-,-,-,o,-,-,n,d,-,-,-,-,-,-,-,-,e,-,-,r,-,-,-,-
stan1288,-,-,e,s,-,-,-,-,k,-,-,-,-,-,o,-,-,4,d,-,-,-,-,-,-,-,-,E,-,-,r,-,-,-,-
stan1289,-,-,3,m,-,-,3,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ital1282,-,n,a,s,-,-,-,-,k,-,-,-,-,-,o,-,-,n,d,-,e,-,r,-,-,-,-,e,-,-,-,-,-,-,-
neap1235,a,n,a,S,-,-,-,-,k,-,-,-,-,-,o,-,-,n,-,-,3,-,r,-,-,-,-,3,-,-,-,-,-,-,-
friu1240,-,-,-,-,-,-,-,-,p,-,-,-,l,-,a,-,-,t,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
roma1327,a,-,a,s,-,-,-,-,k,-,-,-,-,-,u,-,-,n,d,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,S,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,t,S,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,-,f,-,-,-,r,b,E,-,-,r,x,-,-,-,y,-,-,-,-,3,-,-,-,-,-,-,-
stan1295,-,-,-,-,-,-,-,-,f,-,-,-,E,-,a,-,-,-,S,t,-,-,-,-,-,-,-,E,k,-,N,-,-,-,-
luxe1241,-,-,-,-,-,-,-,-,f,-,-,-,-,-,o,-,-,-,S,t,o,-,p,-,-,-,-,3,-,-,n,-,-,-,-
swis1247,-,-,-,-,-,-,-,-,f,-,-,-,-,-,3,-,-,r,S,t,E,k,x,-,-,-,-,3,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,e,-,m,-,-,-,-,a,-,-,-,-,-,-,-
dani1285,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,E,-,m,-,-,-,-,3,-,-,-,-,-,-,-
lith1251,-,-,-,-,-,-,-,-,s,-,-,-,l,y,e,-,-,-,-,-,-,-,p,-,-,-,-,y,-,-,t,-,-,y,i
latv1249,-,-,-,-,-,-,-,-,s,-,-,-,l,-,E,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,t,-,-,-,-
czec1258,-,-,-,-,-,-,-,-,k,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,T,-,-,-,i
czec1258,-,-,-,s,-,-,-,-,x,-,o,-,v,-,o,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,t,-,-,-,-
slov1269,-,-,-,s,-,-,-,-,x,-,-,-,-,-,o,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,T,-,-,-,-
slov1269,-,-,-,u,-,-,-,-,k,-,-,-,r,-,i,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,T,-,-,-,-
poli1260,-,-,-,-,-,-,-,-,x,-,-,-,-,-,o,-,-,-,-,-,-,-,v,-,-,-,-,a,-,-,t,-,-,-,S
poli1260,-,-,-,-,-,-,-,-,x,-,-,-,-,-,o,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,t,-,-,-,S
slov1268,-,-,-,s,-,-,-,-,k,-,-,-,r,-,i,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,t,-,-,-,i
ukra1253,-,-,-,-,-,-,-,-,x,-,-,-,-,-,o,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,t,-,-,-,i
rusy1239,-,p,-,r,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,t,-,-,-,3
bela1254,-,-,-,-,-,-,-,-,x,-,-,-,-,-,o,-,-,-,-,-,-,-,v,-,-,-,-,o,-,-,t,-,-,s,y
russ1263,-,p,-,r,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,3,-,-,t,-,-,-,y
