language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
port1283,-,-,-,b,-,-,a,-,X,i,x,a,-,-,-
stan1288,-,-,-,b,-,-,a,-,r,i,x,a,-,-,-
stan1289,-,-,-,p,-,-,a,-,n,-,S,3,-,-,-
ital1282,-,-,-,p,-,-,a,n,t,-,S,a,-,-,-
neap1235,-,-,-,p,-,-,a,n,t,-,s,3,-,-,-
friu1240,-,-,-,p,-,-,a,n,t,-,s,e,-,-,-
roma1327,-,-,-,b,-,-,u,r,t,-,-,3,-,-,-
stan1290,-,-,-,v,-,-,o,-,t,-,X,-,-,-,-
wall1255,-,-,-,v,-,-,e,-,t,-,-,-,-,-,-
dutc1256,-,-,-,b,-,E,i,-,k,-,-,-,-,-,-
west2354,-,-,-,b,-,-,u,-,k,-,-,-,-,-,-
stan1295,-,-,-,b,-,a,u,-,X,-,-,-,-,-,-
luxe1241,-,-,-,b,-,E,u,-,X,-,-,-,-,-,-
swis1247,-,-,-,b,-,-,u,-,x,-,-,-,-,-,-
icel1247,k,h,-,v,-,-,i,-,8,-,-,i,r,-,-
swed1254,-,-,-,b,-,-,u,-,k,-,-,e,r,-,-
swed1254,-,-,-,m,-,-,o,-,g,-,-,3,-,-,-
faro1244,-,-,-,b,-,-,u,-,k,-,-,u,r,-,-
dani1285,-,-,-,m,-,-,E,-,v,-,-,3,-,-,-
lith1251,-,-,-,p,-,y,i,-,l,-,v,a,s,-,-
latv1249,-,-,-,v,E,d,E,-,r,-,-,-,s,-,-
czec1258,-,-,-,b,r,y,i,-,x,-,-,o,-,-,-
czec1258,-,-,-,b,r,-,i,-,x,-,-,o,-,-,-
slov1269,-,-,-,b,r,-,u,-,x,-,-,o,-,-,-
poli1260,-,-,-,b,r,y,u,-,x,-,-,o,-,-,-
poli1260,-,-,-,b,-,Z,u,-,x,-,-,-,-,-,-
slov1268,t,r,e,b,-,-,u,-,x,-,-,-,-,-,-
ukra1253,-,Z,i,v,-,y,i,-,t,-,-,-,-,-,-
rusy1239,k,y,e,l,-,y,u,-,x,-,-,-,-,-,-
bela1254,-,Z,3,v,-,-,o,-,t,-,-,-,-,-,-
russ1263,-,Z,3,v,-,-,o,-,t,-,-,-,-,-,-
lowe1385,-,-,-,b,r,y,u,-,x,-,-,-,-,-,-
uppe1395,-,-,-,b,X,-,u,-,x,-,-,-,-,-,-
kash1274,-,-,-,b,-,Z,o,-,x,-,-,-,-,-,-
bulg1262,-,-,-,k,-,-,u,-,r,-,-,E,m,-,-
mace1250,-,-,-,k,-,-,u,-,r,-,-,e,m,-,-
mace1250,-,-,-,k,-,-,u,-,r,-,-,e,m,-,-
mace1250,-,s,-,t,-,-,o,-,-,-,-,-,m,o,k
gawa1247,-,-,-,v,-,-,3,-,r,-,-,-,-,-,-
kala1373,-,-,-,d,-,-,a,-,r,-,-,-,-,-,-
khow1242,i,S,-,k,o,m,o,-,-,-,-,-,-,-,-
nort2665,-,-,-,b,-,-,a,n,d,-,-,i,-,-,-
hind1269,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
urdu1245,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
bhoj1244,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
maga1260,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
mait1250,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
mara1378,-,-,-,p,-,-,o,-,t,-,-,-,-,-,-
beng1280,-,-,-,p,-,-,e,-,t,-,-,-,-,-,-
assa1263,-,-,-,p,-,-,E,-,t,-,-,-,-,-,-
kash1277,-,-,-,y,-,-,e,-,r,-,-,-,-,-,-
kamv1242,-,-,-,k,-,-,-,-,t,-,-,o,l,-,-
ashk1246,-,t,-,S,-,-,i,-,t,-,-,a,l,-,-
west2369,-,-,-,S,-,-,e,k,h,-,-,E,m,-,-
bakh1245,-,-,-,-,-,-,-,k,-,-,-,o,m,-,-
kumz1235,-,-,-,d,-,-,i,-,l,-,-,-,-,-,-
yagn1238,-,-,-,d,-,-,a,-,r,-,-,a,-,-,-
mode1248,-,-,-,T,-,-,i,-,L,-,-,a,-,-,-
cypr1249,t,-,-,S,-,-,i,-,L,-,-,a,-,-,-
pont1253,-,-,-,T,-,-,i,-,l,-,i,3,-,-,-
capp1239,-,-,-,k,-,-,a,-,r,-,y,a,-,-,-
apul1236,t,-,-,S,-,-,i,-,l,-,i,a,-,-,-
homs1234,-,-,-,p,-,h,o,-,r,-,-,-,-,-,-
nucl1235,-,-,-,p,-,h,o,-,r,-,-,-,-,-,-
iris1253,-,-,-,b,-,-,u,-,l,-,-,3,g,-,-
sinh1246,-,-,-,b,-,-,a,-,d,-,-,3,-,-,-
