language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
boro1279,t,-,a,t,a,a,N,k,o,t,a,-,-,-,-
buru1306,t,o,a,t,-,-,N,-,-,-,i,-,-,-,-
buru1306,t,u,a,t,-,-,N,-,-,-,i,-,-,-,-
kube1244,r,-,a,-,-,-,r,-,-,-,a,-,k,-,-
tobo1251,l,-,a,-,-,-,l,-,-,-,a,-,p,-,-
dedu1240,k,-,o,-,-,-,N,-,-,-,a,-,k,-,-
kate1253,k,-,a,p,-,-,N,k,-,-,a,p,N,-,-
mape1249,k,-,a,p,-,-,N,k,-,-,a,p,N,-,-
onoo1246,l,-,i,b,-,-,e,k,-,-,a,-,-,-,-
mese1244,s,-,a,g,-,-,a,t,-,-,-,-,n,-,-
naba1256,s,-,a,-,-,-,-,t,-,-,-,-,n,3,N
komb1273,k,-,a,-,-,-,u,k,-,-,a,-,u,-,-
sele1250,k,-,a,-,-,-,o,k,-,-,-,-,-,-,-
timb1251,k,-,a,-,-,-,-,-,-,-,-,-,u,-,-
