language,x1,x2,x3,x4,x5,x6,x7,x8
boro1279,-,-,e,u,N,m,e,-
buru1306,-,-,-,u,-,m,e,-
buru1306,-,-,-,u,-,m,e,-
kube1244,k,p,e,-,-,w,i,-
tobo1251,k,p,a,-,-,l,i,-
dedu1240,k,p,e,-,-,b,i,-
kate1253,g,b,o,-,-,t,o,-
mape1249,g,b,o,-,-,r,u,-
onoo1246,g,b,e,-,-,t,u,t
mese1244,-,-,o,-,-,s,3,-
naba1256,-,-,o,-,-,-,u,-
komb1273,g,-,a,-,-,r,e,-
sele1250,g,-,o,-,-,r,e,-
timb1251,p,-,a,-,-,r,u,t
