language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
boro1279,-,a,o,N,-,g,o,l,-,-,-,-,o,-,-,k
buru1306,-,a,-,N,-,g,o,l,-,-,-,-,a,-,-,t
buru1306,-,-,-,m,-,-,o,n,-,-,-,-,a,h,o,t
dedu1240,-,a,-,-,-,-,-,r,-,-,i,-,a,-,-,k
kube1244,-,a,-,-,-,g,-,l,-,-,i,-,a,-,-,k
kate1253,m,a,-,m,a,s,i,r,-,-,i,-,-,-,-,-
mape1249,m,a,-,-,-,s,i,r,-,-,i,g,a,-,-,-
onoo1246,-,-,-,-,-,g,-,b,-,-,-,-,a,-,-,t
mese1244,d,-,-,-,-,z,3,g,o,d,z,-,3,-,-,-
naba1256,-,-,-,-,-,-,-,k,-,-,p,-,e,-,-,p
komb1273,-,-,-,-,-,s,e,r,-,-,-,-,o,-,-,-
sele1250,-,-,-,-,-,h,e,N,-,-,-,-,-,-,-,-
timb1251,-,-,-,-,-,h,o,l,-,-,i,m,a,-,-,k
