language,x1,x2,x3,x4
boro1279,-,i,-,-
buru1306,-,i,-,-
buru1306,-,i,-,-
dedu1240,-,i,e,-
kube1244,-,i,-,-
kate1253,-,e,-,-
mape1249,-,i,-,-
onoo1246,-,e,-,-
mese1244,l,3,-,-
naba1256,-,3,-,k
komb1273,-,z,o,k
sele1250,-,i,o,k
timb1251,-,i,o,k
