language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
boro1279,-,-,-,k,p,-,e,t,-,-,-,a,n,o,-,k,e,-
buru1306,m,e,a,k,p,-,o,-,-,-,-,-,-,-,-,-,-,-
buru1306,-,-,-,k,p,-,e,t,a,l,i,a,n,-,-,-,-,-
dedu1240,-,-,-,-,-,-,-,t,-,-,-,u,N,-,-,g,e,-
kube1244,-,-,-,-,-,-,-,-,-,-,-,i,g,o,k,g,e,-
kate1253,-,-,-,-,-,-,-,t,-,-,-,u,N,-,-,k,e,-
mape1249,-,-,-,-,-,-,-,t,-,-,-,u,N,-,-,g,a,-
onoo1246,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-,r,a,-
mese1244,-,-,-,-,-,-,o,t,-,-,-,3,-,-,-,g,3,-
naba1256,-,-,-,-,-,-,o,t,-,-,-,o,-,-,-,p,e,-
komb1273,-,-,-,-,m,a,a,t,-,-,-,-,-,-,-,-,i,-
sele1250,-,-,-,-,-,-,-,h,-,-,-,o,-,-,-,p,u,n
timb1251,-,-,-,-,h,-,o,k,-,-,-,-,-,-,-,-,o,k
