language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
boro1279,-,k,o,-,o,s,u,-,-,k
buru1306,-,k,o,-,u,s,u,-,-,-
buru1306,-,k,o,-,u,s,u,-,-,-
dedu1240,-,k,-,-,u,r,u,m,e,N
kube1244,-,h,o,s,e,s,u,-,-,-
kate1253,-,k,a,r,o,r,a,-,-,T
mape1249,-,g,-,-,o,w,e,-,-,N
onoo1246,-,k,-,-,e,z,o,-,-,N
mese1244,-,k,u,m,-,b,u,-,-,-
naba1256,d,z,a,n,d,z,a,-,-,-
komb1273,-,s,-,-,a,s,a,-,-,-
sele1250,-,-,-,-,e,l,e,-,-,m
timb1251,-,h,a,m,a,d,a,-,-,t
