language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
duru1236,v,-,-,i,-,t,i,d,-,-
koya1251,p,-,-,e,n,d,-,k,u,-
telu1262,g,-,-,i,n,d,-,Z,a,-
telu1262,b,-,-,i,-,d,-,Z,a,m
telu1262,v,-,-,i,-,t,a,n,a,m
nort2702,p,-,-,e,-,d,-,-,e,-
nort2702,v,-,-,i,-,d,-,Z,a,-
nort2699,v,-,-,i,-,t,a,n,a,m
bada1257,p,-,-,i,-,t,-,-,3,-
kota1263,v,-,-,i,-,t,-,-,u,-
koda1255,k,-,-,u,-,r,-,-,u,-
ravu1237,k,-,-,u,-,r,-,-,u,-
nucl1305,b,-,-,i,-,d,-,Z,a,-
nucl1305,b,-,-,e,-,d,-,-,e,-
mala1464,p,a,r,i,-,p,-,-,3,-
mala1464,v,-,-,i,-,t,-,-,a,-
tami1289,v,-,-,e,-,d,-,-,3,-
bett1235,b,-,-,i,-,s,-,-,3,-
tulu1258,b,-,-,i,-,d,-,Z,a,-
toda1252,p,-,-,i,-,t,-,-,3,-
kuru1302,g,-,-,o,-,t,-,-,a,-
kuru1302,b,-,-,i,-,-,-,-,-,-
brah1256,b,-,-,e,-,d,-,-,Z,-
